Format Version,1.23,Take Name,Take 2021-06-07 10.54.39 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-06-07 10.54.39.893 AM,Total Frames in Take,4201,Total Exported Frames,4201,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017
,ID,"C3720","C3720","C3720","C3A70","C3A70","C3A70","C3A90","C3A90","C3A90","C3AD0","C3AD0","C3AD0","C3AF0","C3AF0","C3AF0","C3B00","C3B00","C3B00","C3B50","C3B50","C3B50","C3B70","C3B70","C3B70","C3B80","C3B80","C3B80","C3BB0","C3BB0","C3BB0","C3BC0","C3BC0","C3BC0","C3BD0","C3BD0","C3BD0","C3BE0","C3BE0","C3BE0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.160281,0.154635,0.126169,-0.137263,0.153092,0.082020,-0.184941,0.151219,0.083546,0.000037,0.000764,-0.000418,0.000095,0.000768,0.081675,-0.041298,0.000283,-0.000076,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.160305,0.154614,0.126202,-0.137260,0.153131,0.082033,-0.184952,0.151204,0.083560,0.000026,0.000735,-0.000385,0.000111,0.000802,0.081634,-0.041333,0.000237,-0.000012,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.160317,0.154597,0.126229,-0.137284,0.153080,0.082118,-0.184949,0.151217,0.083566,-0.000010,0.000695,-0.000310,0.000070,0.000690,0.081797,-0.041262,0.000347,-0.000124,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.160301,0.154617,0.126199,-0.137259,0.153099,0.082015,-0.184957,0.151193,0.083574,0.000028,0.000745,-0.000400,0.000104,0.000780,0.081650,-0.041330,0.000223,-0.000002,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.160315,0.154592,0.126227,-0.137272,0.153087,0.082102,-0.184951,0.151202,0.083572,0.000003,0.000737,-0.000356,0.000069,0.000700,0.081796,-0.041313,0.000255,-0.000029,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.160312,0.154596,0.126226,-0.137284,0.153039,0.082117,-0.184935,0.151216,0.083545,0.000023,0.000763,-0.000386,0.000111,0.000787,0.081649,-0.041324,0.000247,-0.000019,,,,,,,,,,,,,,,,,,,,,
6,0.050000,-0.160308,0.154610,0.126213,-0.137276,0.153076,0.082121,-0.184944,0.151203,0.083563,-0.000004,0.000696,-0.000315,0.000111,0.000797,0.081644,-0.041311,0.000277,-0.000047,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.160304,0.154600,0.126216,-0.137256,0.153095,0.082020,-0.184948,0.151200,0.083581,0.000000,0.000723,-0.000347,0.000104,0.000773,0.081669,-0.041231,0.000373,-0.000164,,,,,,,,,,,,,,,,,,,,,
