time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
21.109, -2, -1, 197.51, -574.222, 247, 180, 0, 0, 1, 4.53208, 21, 177.51, -582.856, 247, -180, 5.8679e-05, 0.000197021
42.424, -2, -2, -258.56, -597.87, 247, 180, 0, 0, 1, 4.02868, 19, -278.035, -587.345, 247, -180, 5.86645e-05, 0.000197018
Bisect
25.852, -1, -1, 197.51, -574.222, 247, 180, 0, 0, 1, 11.2484, 42, 163.01, -582.104, 247, -180, 5.86727e-05, 0.000197017
46.663, -1, -2, -258.56, -597.87, 247, 180, 0, 0, 1, 9.54102, 38, -292.785, -600.38, 247, -180, 5.86665e-05, 0.00019702
Fine Spiral Search
57.021, 0, 0, 160.975, -531.345, 247, 180, 0, 0, 1, 1.98504, 39, 159.442, -529.939, 247, -180, 5.86828e-05, 0.000197024
63.813, 0, 1, -296.353, -548.215, 247, -180, 5.86828e-05, 0.000197024, 1, 0.000140663, 1, -296.353, -548.215, 247, -180, 5.86664e-05, 0.000197029
68.723, 1, 0, 159.442, -529.939, 247, -180, 5.86828e-05, 0.000197024, 1, 1.56002, 31, 158.997, -529.927, 247, -180, 5.86704e-05, 0.000197026
75.092, 1, 1, -296.353, -548.215, 247, -180, 5.86664e-05, 0.000197029, 1, 0.000128414, 1, -296.354, -548.215, 247, -180, 5.86746e-05, 0.000197012
