time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
21.824, -2, -1, 184.174, -563.22, 247, 180, 0, 0, 1, 23.2831, 107, 134.174, -562.365, 247, -180, 5.86728e-05, 0.000197011
61.29, -2, -2, -271.976, -585.275, 247, 180, 0, 0, 1, 30.6612, 105, -321.975, -565.277, 247, -180, 5.86664e-05, 0.00019702
Bisect
45.317, -1, -1, 184.174, -563.22, 247, 180, 0, 0, 1, 10.6519, 44, 122.174, -567.614, 247, -180, 5.86766e-05, 0.000197011
92.16, -1, -2, -271.976, -585.275, 247, 180, 0, 0, 0, 0, 0, -321.975, -565.277, 247, -180, 5.86684e-05, 0.000197016
