Iteration,Approach,Pickup,Transport,Insert,Total,,,
5,1.79542,1.33631,1.6679,1.26771,6.06763,,,
6,1.82184,1.33389,1.65599,1.26497,6.07698,,,
7,1.80915,1.33561,1.6429,1.28246,6.07039,,,
8,1.79562,1.33611,1.66788,1.25589,6.05579,,,
9,1.82589,1.33076,1.65492,1.26045,6.07219,,,
10,1.80741,1.33638,1.64392,1.61657,6.40456,,,
,,,,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total,,,
1,1.85314,1.33446,1.64386,1.25762,6.08938,,,
2,1.79971,1.33282,1.65502,1.32205,6.10989,,,
3,1.8042,1.33956,1.66783,1.27143,6.0833,,,
4,1.8364,1.33125,1.64638,1.29025,6.10457,,,
5,1.81097,1.33191,1.65579,1.29219,6.09115,,,
6,1.79624,1.33538,1.66887,1.28064,6.08141,,,
7,1.83466,1.33695,1.64091,1.27905,6.09183,,,
8,1.80628,1.33747,1.65508,1.30524,6.10436,,,
9,1.79751,1.33437,1.66787,1.28665,6.08668,,,
10,1.843,1.33601,1.63194,1.26803,6.07926,,,
11,1.79521,1.33738,1.65503,1.27652,6.06444,,,
12,1.79572,1.33605,1.65598,1.66989,6.45793,,,
13,1.84013,1.33965,1.63184,1.27441,6.08631,,,
14,1.79634,1.33512,1.65589,1.9819,6.76953,,,
15,1.79791,1.3577,1.64488,1.2713,6.07206,,,
16,1.8473,1.3315,1.64387,1.24559,6.06855,,,
17,1.80967,1.33406,1.65587,2.91499,7.71487,,,
18,1.82219,1.33354,1.64477,1.27159,6.07235,,,
19,1.80565,1.33906,1.64293,2.42393,7.21186,,,
20,1.82197,1.33564,1.65391,1.25628,6.06808,,,
21,1.78549,1.3343,1.65583,3.34573,8.12162,,,
22,1.82404,1.33169,1.644,1.2702,6.07022,,,
23,1.79533,1.33631,1.66795,1.29555,6.09544,,,
24,1.79575,1.33605,1.65683,1.98309,6.77201,,,
25,1.84539,1.3334,1.63292,1.26351,6.0755,,,
26,1.80876,1.33498,1.65502,1.61584,6.41489,,,
27,1.81012,1.33267,1.64379,1.27137,6.05823,,,
28,1.85246,1.33923,1.63379,1.89385,6.71962,,,
29,1.8089,1.33387,1.66781,1.29514,6.10601,,,
30,1.79824,1.33339,1.65689,1.69262,6.48144,,,
31,1.83574,1.33212,1.64384,2.85798,7.66997,,,
32,1.8073,1.33646,1.65598,2.85646,7.65649,,,
33,1.81375,1.331,1.65496,1.94793,6.74793,,,
34,1.80715,1.3376,1.63184,2.41054,7.18741,,,
35,1.78171,1.32617,1.66777,3.35797,8.13391,,,
36,1.80818,1.33355,1.66792,2.40935,7.21929,,,
37,1.83066,1.33616,1.63193,2.40495,7.20391,,,
38,1.79505,1.34875,1.65679,1.63335,6.43423,,,
39,1.82263,1.33421,1.65578,2.90094,7.71384,,,
40,1.80779,1.33594,1.66871,2.42539,7.2381,,,
41,1.82141,1.33515,1.65493,1.61674,6.42851,,,
42,1.80988,1.33378,1.66889,3.38529,8.19812,,,
43,1.79542,1.33625,1.64393,2.86064,7.63653,,,
44,1.83288,1.33393,1.6558,4.3482,9.17112,,,
45,1.82458,1.33127,1.64389,2.45871,7.25874,,,
46,1.79803,1.33382,1.64376,2.8183,7.59424,,,
47,1.84045,1.32736,1.65575,3.36883,8.19267,,,
48,1.80997,1.33378,1.65586,2.37419,7.17409,,,
49,1.83338,1.3333,1.64579,2.42382,7.23658,,,
50,1.79786,1.3348,1.65511,3.3761,8.16417,,,
51,1.84342,1.33532,1.65593,3.34568,8.18064,,,
52,1.79987,1.33427,1.67833,2.86835,7.68109,,,
53,1.80645,1.33613,1.64496,2.80785,7.59567,,,
54,1.82395,1.33269,1.64404,1.95115,6.7521,,,
55,1.82241,1.3325,1.64382,4.3257,9.12471,,,
56,1.81797,1.33688,1.65576,2.44026,7.25119,,,
57,1.80731,1.37325,1.64299,4.3298,9.15363,,,
58,1.80782,1.34681,1.65582,2.90335,7.71408,,,
59,1.80751,1.33712,1.66709,4.32971,9.14168,,,
60,1.82426,1.33082,1.65591,2.45633,7.26826,,,
61,1.79347,1.36218,1.65602,2.35373,7.16569,,,
62,1.79997,1.33271,1.65506,4.38032,9.16833,,,
63,1.83142,1.33617,1.64397,2.90184,7.71369,,,
64,1.83406,1.33368,1.65589,2.39731,7.22121,,,
65,1.80852,1.3342,1.65693,4.85078,9.65071,,,
66,1.80709,1.33656,1.64478,2.43364,7.22235,,,
67,1.8216,1.33525,1.65564,2.387,7.19977,,,
68,1.79299,1.34071,1.65483,2.86341,7.65221,,,
69,1.81958,1.33607,1.65513,1.9117,6.72274,,,
70,1.81808,1.33672,1.65693,2.3733,7.18529,,,
71,1.79945,1.33219,1.64497,4.821,9.5978,,,
72,1.82418,1.33059,1.6429,4.35458,9.1525,,,
73,1.80766,1.36,1.63202,3.35792,8.15789,,,
74,1.79798,1.33353,1.66799,4.35245,9.15222,,,
75,1.81678,1.3399,1.65502,1.93598,6.74796,,,
76,1.80423,1.33954,1.64401,2.42241,7.21044,,,
77,1.79566,1.33613,1.66779,1.94302,6.74288,,,
78,1.79503,1.34858,1.65596,2.38139,7.18124,,,
79,1.80862,1.33429,1.65582,2.84784,7.64691,,,
80,1.82002,1.33564,1.65597,3.81331,8.62522,,,
81,1.79357,1.36223,1.64381,5.326,10.1259,,,
82,1.81024,1.33346,1.65588,2.39257,7.19243,,,
83,1.79575,1.33695,1.65491,4.85817,9.64607,,,
84,1.80531,1.33937,1.64294,4.31567,9.10356,,,
85,1.83299,1.33471,1.63104,1.89211,6.69112,,,
86,1.81893,1.3344,1.66794,1.88552,6.70708,,,
87,1.81984,1.33682,1.63106,3.80799,8.59595,,,
88,1.80946,1.33342,1.63193,4.83767,9.61275,,,
89,1.82191,1.33392,1.65578,3.3573,8.16918,,,
90,1.80544,1.33922,1.65494,3.8508,8.65067,,,
91,1.79507,1.33664,1.64394,2.40844,7.18444,,,
92,1.80971,1.3332,1.64389,7.78601,12.5731,,,
93,1.83345,1.33438,1.66798,2.42253,7.25861,,,
94,1.83372,1.33592,1.62993,1.91605,6.71591,,,
95,1.79516,1.33751,1.64279,5.33765,10.1134,,,
96,1.82187,1.33381,1.64402,3.93616,8.73612,,,
97,1.79231,1.35131,1.65682,2.37275,7.17346,,,
98,1.79287,1.33877,1.65599,5.3722,10.1601,,,
99,1.79862,1.33313,1.65599,7.37991,12.1679,,,
100,1.80133,1.34351,1.63179,1.90765,6.68457,,,
101,1.79272,1.33992,1.66711,4.34093,9.14093,,,
102,1.8213,1.33535,1.63091,4.3407,9.1285,,,
103,1.83789,1.32991,1.63186,4.85721,9.65716,,,
104,1.81047,1.33316,1.65685,6.81401,11.6148,,,
105,1.8052,1.34026,1.64282,2.91574,7.70448,,,
106,1.83384,1.33498,1.64287,4.30014,9.11209,,,
107,1.82844,1.36321,1.66695,1.90968,6.76857,,,
108,1.82383,1.33208,1.65581,4.87418,9.68614,,,
109,1.78143,1.34094,1.63025,1.9408,6.6937,,,
110,1.79783,1.35787,1.65581,4.78636,9.59813,,,
111,1.85044,1.34117,1.6319,3.86585,8.68964,,,
112,1.7952,1.36075,1.63178,2.39629,7.18433,,,
113,1.79503,1.33419,1.66788,4.80989,9.60727,,,
114,1.80904,1.33463,1.64386,2.86844,7.65621,,,
115,1.82063,1.33513,1.63278,4.82313,9.61192,,,
116,1.8162,1.34046,1.65478,4.32872,9.1404,,,
117,1.84898,1.32995,1.65583,4.41618,9.25123,,,
118,1.83352,1.33338,1.6438,4.79777,9.60875,,,
119,1.80808,1.33574,1.66789,2.41424,7.22624,,,
120,1.80458,1.33925,1.64479,3.37487,8.16377,,,
121,1.81809,1.33571,1.6319,5.80641,10.5924,,,
122,1.83074,1.3362,1.65672,2.375,7.19891,,,
123,1.80516,1.33856,1.63194,3.88645,8.6624,,,
124,1.83163,1.33606,1.65683,2.383,7.20777,,,
125,1.79516,1.3605,1.65786,4.87157,9.68536,,,
126,1.8437,1.33602,1.6457,2.91219,7.73788,,,
127,1.8103,1.33345,1.64387,4.31968,9.10757,,,
128,1.80777,1.33595,1.65597,4.31604,9.11601,,,
129,1.80438,1.33831,1.6448,2.8508,7.63857,,,
130,1.83589,1.33282,1.63081,1.9433,6.74309,,,
131,1.81855,1.33636,1.64595,5.33067,10.1318,,,
132,1.80704,1.33666,1.66885,4.38736,9.20014,,,
133,1.81989,1.33523,1.65574,3.84794,8.65907,,,
134,1.82305,1.33155,1.66986,4.31755,9.1423,,,
135,1.80773,1.33698,1.63185,4.39316,9.17002,,,
136,1.80728,1.36038,1.63185,2.39674,7.19652,,,
137,1.79981,1.33286,1.6679,4.32324,9.12408,,,
138,1.79239,1.3402,1.65499,2.40269,7.19054,,,
139,1.83507,1.33185,1.63182,4.32221,9.12125,,,
140,1.8074,1.33719,1.65591,5.27084,10.0716,,,
141,1.82614,1.32966,1.65593,7.86452,12.6765,,,
142,1.79495,1.34988,1.65398,4.78711,9.58619,,,
143,1.78366,1.33629,1.65574,2.80784,7.58381,,,
144,1.795,1.33677,1.63179,3.88539,8.64925,,,
145,1.82052,1.33418,1.63185,2.38393,7.17075,,,
146,1.79295,1.36479,1.64185,7.76141,12.5613,,,
147,1.83386,1.33495,1.63089,3.81209,8.61207,,,
148,1.82047,1.3353,1.63181,4.87084,9.65868,,,
149,1.79795,1.33387,1.6688,1.91624,6.71715,,,
150,1.79339,1.36223,1.65584,2.38085,7.1926,,,
151,1.79282,1.33898,1.63188,1.91204,6.67602,,,
152,1.79731,1.34636,1.64391,7.78777,12.5756,,,
153,1.83916,1.33957,1.644,2.90137,7.72438,,,
154,1.83663,1.33117,1.63276,4.81904,9.61988,,,
155,1.79919,1.33241,1.66799,2.42147,7.22135,,,
156,1.80781,1.33602,1.65689,8.40114,13.2021,,,
157,1.81662,1.32715,1.6568,5.42003,10.2209,,,
158,1.84805,1.33161,1.64479,2.87655,7.70128,,,
159,1.79368,1.3361,1.65583,2.40803,7.19392,,,
160,1.83618,1.33262,1.643,5.32042,10.1324,,,
161,1.80802,1.33645,1.66539,5.32005,10.1302,,,
162,1.79462,1.33727,1.6431,4.3777,9.1529,,,
163,1.81918,1.33586,1.63185,4.86223,9.6494,,,
164,1.78164,1.33822,1.65579,4.38191,9.15786,,,
165,1.81617,1.33855,1.66804,5.42539,10.2485,,,
166,1.78077,1.33889,1.63592,4.87226,9.62807,,,
167,1.79444,1.33633,1.66788,4.34983,9.14876,,,
168,1.82013,1.33469,1.65588,8.31745,13.1284,,,
169,1.79592,1.33576,1.63188,2.43224,7.19609,,,
170,1.79637,1.33536,1.668,4.3406,9.14062,,,
171,1.79794,1.33382,1.6439,2.42416,7.20009,,,
172,1.83344,1.33323,1.60798,7.33389,12.1088,,,
173,1.79498,1.33665,1.66877,6.84767,11.6484,,,
174,1.80777,1.33595,1.66783,24.0486,28.8605,,**Outlier,ROBOT FAIL
175,1.79656,1.33511,1.65588,4.78793,9.57577,,,
176,1.80523,1.33863,1.65775,6.84762,11.6495,,,
177,1.80787,1.33685,1.64298,2.90213,7.69009,,,
178,1.80544,1.33832,1.65583,7.79589,12.5958,,,
179,1.82415,1.33152,1.65581,4.33159,9.14336,,,
180,1.83673,1.33091,1.65778,2.42722,7.25294,,,
181,1.81132,1.34442,1.64592,4.39263,9.19457,,,
182,1.81981,1.33592,1.64386,5.8722,10.6721,,,
183,1.82858,1.33826,1.65576,2.94489,7.76777,,,
184,1.80699,1.33766,1.619,7.44934,12.2133,,,
185,1.84977,1.34089,1.64397,5.81215,10.6471,,,
186,1.84351,1.33625,1.65594,2.45771,7.29371,,,
187,1.79597,1.38379,1.65587,3.74817,8.58405,,,
188,1.80866,1.33328,1.65573,2.82894,7.6269,,,
189,1.80412,1.33885,1.6318,3.9163,8.69136,,,
190,1.81755,1.33924,1.65485,3.86592,8.67785,,,
191,1.83425,1.33271,1.64482,13.4907,18.3028,,,
192,1.92844,1.35736,1.66972,4.3809,9.3367,,,
193,1.79381,1.36188,1.63283,4.83229,9.6211,,,
194,1.82555,1.33033,1.64386,2.87574,7.67577,,,
195,1.80738,1.33382,1.68166,9.33865,14.1618,,,
196,1.75986,1.33585,1.64388,3.87414,8.61401,,,
197,1.8265,1.32937,1.67983,4.38177,9.21775,,,
198,1.82403,1.33191,1.63158,2.92644,7.71424,,,
199,1.80441,1.3394,1.68076,6.88495,11.7098,,,
200,1.8342,1.34753,1.65475,4.35262,9.18938,,,
201,1.83789,1.32993,1.66876,8.40941,13.2463,,,
202,1.77168,1.34607,1.6198,7.33216,12.07,,,
203,1.79351,1.33628,1.64387,2.90077,7.67473,,,
204,1.84511,1.33397,1.66786,5.42019,10.2674,,,
205,1.81358,1.33012,1.65591,3.84995,8.64985,,,
206,1.79209,1.37562,1.63273,8.29071,13.0914,,,
207,1.84402,1.33476,1.68177,8.92956,13.7904,,,
208,1.77374,1.33393,1.64396,4.88015,9.63206,,,
209,1.80745,1.33523,1.66881,4.32288,9.13463,,,
210,1.80607,1.33772,1.64382,4.31937,9.10727,,,
211,1.79668,1.33604,1.61897,2.4599,7.21188,,,
212,1.82504,1.33069,1.64476,5.38945,10.1902,,,
213,1.83368,1.33209,1.63283,6.87906,11.6779,,,
214,1.79547,1.33634,1.65581,2.84382,7.63172,,,
215,1.8338,1.33485,1.66695,5.35029,10.1862,,,
