Iteration,Approach,Pickup,Transport,Insert,Total,
115,2.18293,1.33179,1.61974,2.2284,7.36315,
116,1.78465,1.33532,1.64379,5.32382,10.0879,
117,1.81913,1.33761,1.6567,2.66061,7.47431,
118,1.83069,1.338,1.63087,7.41209,12.2119,
119,1.8285,1.33859,1.65576,15.0339,19.857,
120,1.97675,1.33408,1.63291,4.74293,9.68696,
121,1.78013,1.34051,1.63188,6.54062,11.2934,
122,1.80791,1.33584,1.66783,12.4434,17.2553,
123,1.91784,1.33366,1.62,3.71923,8.59097,
124,1.83571,1.33127,1.64378,9.09996,13.911,
125,1.8144,1.32942,1.6438,17.061,21.8489,
126,2.56567,1.37085,1.64391,7.65131,13.232,
127,1.75953,1.33718,1.63097,20.5172,25.2452,
128,1.80697,1.33668,1.66602,2.11121,6.92115,
129,1.79653,1.33517,1.63189,29.0294,33.7933,
130,3.55062,1.33315,1.61983,3.93493,10.4388,
131,1.80909,1.34649,1.63197,5.90757,10.6954,
132,1.85494,1.33593,1.65584,31.6478,36.4948,
133,4.13723,1.3356,1.65589,5.93455,13.0635,
134,1.86093,1.32991,1.65575,6.51239,11.3593,
135,1.84454,1.33515,1.61988,9.57503,14.3749,
136,1.7606,1.33433,1.62081,8.19695,12.913,
137,1.83633,1.33144,1.65684,13.0549,17.8798,
138,2.04924,1.33436,1.64394,27.0432,32.071,
139,3.49951,1.33436,1.61986,13.4999,19.954,
140,1.85774,1.33718,1.65289,4.25698,9.10508,
141,1.80814,1.33455,1.64393,9.0816,13.8685,
142,1.77798,1.36465,1.63097,47.9404,52.7143,
143,2.08406,1.3357,1.63191,12.3155,17.3675,
144,1.88305,1.33275,1.63264,4.88456,9.73332,
145,1.81976,1.33696,1.63179,7.04027,11.8291,
146,1.80952,1.33521,1.64299,-4291.38,-4286.59,*OVERFLOW
147,1.81386,1.32971,1.61988,5.13532,9.89905,
148,1.79656,1.33602,1.63097,16.0703,20.8341,
149,1.83097,1.3368,1.66705,3.18398,8.0191,
150,1.83738,1.33031,1.64397,10.6168,15.4287,
151,1.91028,1.34038,1.63103,9.1557,14.0377,
152,1.8202,1.33562,1.63185,7.66558,12.4535,
153,1.87197,1.33265,1.64398,6.51331,11.3622,
154,1.7807,1.34004,1.63102,3.06187,7.81392,
155,1.80907,2.33478,0.667759,17.3968,22.2087,
156,2.25252,1.33421,1.66793,6.15707,11.4119,
157,1.81227,1.33162,1.64375,4.63353,9.42146,
158,1.84786,1.33486,1.64,5.84817,10.6712,
159,1.84262,1.33712,1.64391,8.27501,13.099,
160,1.77423,1.33448,1.64289,6.87362,11.6255,
161,1.81906,1.33674,1.65593,20.8686,25.6807,
162,2.6978,1.33303,1.63202,6.27693,11.9401,
163,1.80825,1.33543,1.61988,44.1746,48.9384,
164,1.95384,1.34557,1.64399,8.45158,13.3953,
165,1.83287,1.33576,1.66689,5.99735,10.8332,
166,2.79969,0.332045,1.61998,4.41494,9.16694,
167,1.82618,1.32959,1.66776,3.56654,8.3904,
168,1.81884,1.33694,1.65498,18.6594,23.4704,
169,2.70728,1.3365,1.62081,2.84556,8.51044,
