Iteration,Approach,Pickup,Transport,Insert,Total,,
111,2.01454,1.33409,1.63096,33.3156,38.2955,,
112,1.87093,1.33284,1.63196,23.2186,28.0546,,
113,1.81053,1.33325,1.67987,36.6327,41.4566,,
114,2.05581,1.3424,1.6413,34.055,39.0948,,
115,1.95719,1.33054,1.61984,52.5626,57.4705,,
116,1.88154,1.33424,1.64382,34.6766,39.5365,,
117,1.96777,1.33198,1.64486,31.2978,36.2427,,
118,1.75707,1.35173,1.64294,36.9331,41.6851,,
119,1.8424,1.33728,1.6671,29.3763,34.2233,,
120,0.84247,1.34937,1.63098,38.5555,42.3786,,
121,2.37201,1.33492,1.64483,49.8853,55.2374,,
122,1.86798,1.33569,1.6479,30.9121,35.764,,
123,2.31387,1.33114,1.61986,32.1516,37.4168,,
124,2.71767,1.33886,1.65492,28.5217,34.2334,,
125,1.85073,1.32904,1.6439,38.9949,43.8189,,
126,2.18124,1.33443,1.63178,34.9114,40.0592,,
127,2.08586,1.33305,1.6238,35.5691,40.612,,
128,1.85056,1.34117,1.64392,32.3356,37.1715,,
129,1.87965,1.33595,1.63189,38.8289,43.6767,,
130,2.31626,1.33226,1.63097,37.5945,42.8743,,
131,1.83086,1.33847,1.64241,31.63,36.442,,
132,1.98361,1.35025,1.65672,39.551,44.5418,,
133,2.46773,1.3361,1.64471,35.187,40.6358,,
134,1.84817,1.33171,1.65594,27.9949,32.831,,
135,1.83101,1.3367,1.62076,24.877,29.6657,,
136,1.76172,1.33395,1.62075,53.0374,57.7541,,
137,1.87418,1.32957,1.65669,32.1444,37.0051,,
138,1.86834,1.33559,1.64474,40.5696,45.4186,,
139,2.37097,1.33677,1.62086,56.7715,62.1004,,
140,1.89159,1.36021,1.64386,37.2967,42.1926,,
141,2.18309,1.33171,1.64378,35.1792,40.3381,,
142,2.39848,1.33602,1.61987,59.3164,64.6711,,
143,1.86961,1.33317,1.63187,33.0256,37.8605,,
144,1.85578,1.33701,1.64492,28.7826,33.6206,,
145,1.74768,1.33603,1.62178,44.618,49.3238,,
146,1.85554,1.3361,1.63195,33.7526,38.5765,,
147,1.94179,1.33492,1.63089,28.8467,33.7546,,
148,1.7478,1.34807,1.63189,56.5703,61.2984,,
149,1.92937,1.33346,1.65593,31.4853,36.4043,,
150,1.87942,1.33808,1.654,39.8407,44.7125,,
151,2.25306,1.33468,1.61982,48.9925,54.2003,,
152,1.87023,1.33439,1.63203,34.0163,38.8532,,
153,1.89161,1.33721,1.64292,34.3515,39.2236,,
154,1.91482,1.36087,1.63192,61.1246,66.0325,,
155,2.03868,1.33101,1.65599,35.6968,40.7227,,
156,2.16995,1.33371,1.64391,39.9132,45.0611,,
157,2.50372,1.33504,1.65688,42.8349,48.3308,,
158,1.8473,1.33233,1.64312,33.4353,38.2584,,
159,1.95345,1.34619,1.63198,37.2327,42.1646,,
160,2.36906,1.33945,1.632,40.2744,45.6152,,
161,1.84163,1.3381,1.65592,37.3158,42.1517,,
162,2.23917,1.36042,1.63291,28.7591,33.9919,,
163,1.91516,1.33648,1.64384,61.0709,65.9667,,
164,2.04698,1.35966,1.64583,51.4866,56.5393,,
165,3.4274,1.33735,1.66693,41.7027,48.1346,,
166,2.85525,1.33306,1.63112,50,-4223.27,* Overflow,
167,2.06255,2.33404,0.666958,36.4287,41.4926,,
168,2.14307,1.34755,1.65502,39.5912,44.7371,,
169,2.44668,1.33404,1.63096,33.9996,39.4116,,
170,1.82188,1.34712,1.66661,42.4091,47.245,,
171,2.50369,1.33615,1.64464,44.1931,49.6779,,
172,3.19173,1.33208,1.61983,61.4844,67.6283,,
173,2.02341,1.33722,1.66782,42.8779,47.9066,,
174,2.79218,1.33626,1.66805,49.7467,55.5435,,
175,3.60883,1.33501,1.64398,42.2999,48.888,,
176,1.84332,1.33814,1.64289,37.7828,42.6074,,
177,2.25584,1.3438,1.63186,45.0032,50.235,,
178,3.10184,1.33577,1.6458,36.4911,42.5748,,
179,1.85324,1.33851,1.64386,61.206,66.0419,,
180,4.45536,1.36416,1.65581,55.4632,62.9388,,
181,4.50004,2.34366,0.632868,38.8172,46.294,,
182,1.83362,1.34706,1.64307,36.9307,41.7547,,
183,2.68517,1.33362,1.6318,53.6127,59.2635,,
184,3.91686,1.34508,1.61975,61.3305,68.2125,,
185,2.13455,1.33402,1.64301,42.4588,47.5707,,E1 & J4 corrected by 2 degrees from here onwards
186,2.01027,1.33746,1.65586,56.2939,61.2978,,
187,3.46999,1.3306,1.65506,45.5053,51.9612,,
188,1.85694,1.34596,1.63268,37.0591,41.8949,,
189,1.84334,1.33543,1.61982,36.7204,41.5193,,
190,1.89188,1.33598,1.66689,41.6249,46.52,,
191,1.85551,1.33724,1.63076,41.3308,46.1546,,
192,1.85907,1.3327,1.65673,49.1536,54.0024,,
193,2.79535,1.33226,1.63202,60.333,66.0929,,
194,1.95409,1.33277,1.63187,36.6012,41.5202,,
195,1.84545,1.33418,1.65583,56.5282,61.3639,,
196,3.58805,1.33164,1.63189,37.7672,44.3191,,
197,1.83769,1.34205,1.66785,39.8959,44.7438,,
198,1.8703,1.33446,1.6309,46.3955,51.2315,,
199,2.59932,1.33643,1.65571,53.471,59.0627,,
200,1.87359,1.33028,1.64378,51.298,56.146,,
201,2.24099,1.33381,1.65688,43.0632,48.2952,,
202,2.4017,1.32985,1.60795,56.2034,61.5432,,
203,1.87836,1.33553,1.63261,41.6437,46.4905,,
204,1.88901,1.33962,1.66689,49.7725,54.6683,,
205,3.03023,1.34941,1.65585,50.3978,56.4336,,
206,1.86844,1.33622,1.61876,42.4099,47.2336,,
207,2.02412,1.3596,1.66981,48.3666,53.4205,,
208,2.81833,1.33342,1.61994,37.6264,43.3984,,
209,1.86888,1.33389,1.64388,56.6764,61.5234,,
210,2.74548,1.33537,1.63093,36.3756,42.0876,,
211,1.90595,1.33392,1.63182,44.7601,49.6321,,
212,1.83174,1.33599,1.65588,47.3311,52.155,,
213,2.35188,1.33187,1.61991,52.3263,57.6302,,
214,3.08124,1.33437,1.64408,39.4154,45.4753,,
215,1.85778,1.3349,1.66784,48.7513,53.6121,,
