Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
19.198, -2, -1, 419.448, 197.705, 297, 180, 0, 0, 1, 4.00917, 15, 429.451, 217.789, 296.996, 179.995, -0.00647804, 0.0088463
49.862, -2, -2, 410.254, -260.763, 297, 180, 0, 0, 1, 9.4274, 33, 430.188, -230.83, 296.952, -179.996, 0.00343299, -0.00838206
Bisect
23.576, -1, -1, 429.451, 217.789, 297, 180, 0, 0, 1, 18.5079, 149, 435.705, 238.922, 297.018, 179.987, -0.00494985, -0.0014187
59.653, -1, -2, 430.188, -230.83, 297, 180, 0, 0, 1, 23.0023, 187, 437.478, -217.708, 297.025, -179.991, -0.00340817, 0.00681635
Fine Spiral Search
85.184, 0, 0, 384.905, 238.725, 297, 180, 0, 0, 1, 7.42161, 139, 386.635, 239.879, 297.018, -179.995, -0.0105194, -0.00181006
97.473, 0, 1, 388.408, -216.751, 297.018, -179.995, -0.0105194, -0.00181006, 1, 6.1977e-05, 1, 388.378, -216.795, 296.963, -179.988, 0.00021046, -0.0078341
102.326, 1, 0, 386.635, 239.879, 297.018, -179.995, -0.0105194, -0.00181006, 1, 0.102708, 3, 386.602, 239.892, 296.991, -179.995, 0.00168497, 0.00309081
107.296, 1, 1, 388.378, -216.795, 296.963, -179.988, 0.00021046, -0.0078341, 1, 0.103699, 3, 388.337, -216.828, 296.943, -179.983, 0.00374614, -0.00985906
