Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.282, -1, -1, 379.997, 0.00819432, 297, 180, 0, 0, 1, 2.81353, 7, 21, 328.519, 0.0271226, 296.999, -179.996, 0.00831826, 0.0215132
21.106, -1, -2, 328.519, -228.573, 297, 180, 0, 0, 1, 3.17231, 3, 31, 329.179, -228.546, 296.922, -179.983, 0.0221063, 0.00912416
28.211, -1, -3, 329.168, -228.54, 296.926, -179.981, 0.0234213, 0.0112148, 1, 8.09752, 7, 19, 367.352, 372.948, 296.903, -179.991, 0.0224111, -0.00706259
28.211, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.0834, 17, 71, 327.442, 372.833, 297, 180, 0, 0
Fine Spiral Search
39.78, 0, 0, 429.335, 271.527, 297, 180, 0, 0, 1, 2.02465, NA, 39, 428.367, 273.034, 296.974, -179.993, 0.000805232, 0.0150952
41.913, 0, 1, 429.687, -184.164, 296.974, -179.993, 0.000805232, 0.0150952, 1, 0.000149613, NA, 1, 429.664, -184.166, 296.926, -179.984, 0.00833222, 0.0256269
46.851, 1, 0, 428.367, 273.034, 296.974, -179.993, 0.000805232, 0.0150952, 1, 35.393, NA, 669, 427.303, 272.2, 296.936, -179.985, 0.0142368, 0.00793977
87.078, 1, 1, 429.664, -184.166, 296.926, -179.984, 0.00833222, 0.0256269, 1, 0.112298, NA, 3, 429.632, -184.219, 296.887, -179.978, 0.0175144, 0.029097
