Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
18.24, -1, -1, 379.992, -0.011118, 297, 180, 0, 0, 1, 4.25394, 10, 20, 327.678, -0.0148596, 296.861, -179.99, 0.0198408, -0.00448628
23.907, -1, -2, 327.678, -228.615, 297, 180, 0, 0, 1, 3.02668, 2, 22, 328.32, -228.636, 296.97, -179.993, 0.0197232, 0.00354697
31.046, -1, -3, 328.308, -228.641, 296.976, -179.999, 0.021297, 0.00969271, 1, 10.3262, 13, 34, 366.42, 379.796, 297.041, -179.987, 0.0208125, -0.00354295
31.046, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 17.6068, 25, 76, 326.612, 379.684, 297, 180, 0, 0
Fine Spiral Search
45.489, 0, 0, 428.497, 278.37, 297, 180, 0, 0, 1, 0.250988, NA, 5, 428.415, 278.919, 297.026, -179.988, 0.00558991, -0.00581326
46.268, 0, 1, 429.699, -178.279, 297.026, -179.988, 0.00558991, -0.00581326, 1, 0.439426, NA, 7, 429.648, -177.853, 297.004, -179.987, 0.00979324, -0.00669897
51.961, 1, 0, 428.415, 278.919, 297.026, -179.988, 0.00558991, -0.00581326, 1, 0.00210919, NA, 1, 428.441, 278.914, 297.062, -179.989, -0.00292199, -0.0092892
57.424, 1, 1, 429.648, -177.853, 297.004, -179.987, 0.00979324, -0.00669897, 1, 0.405332, NA, 7, 429.084, -177.873, 296.994, -179.988, 0.0184968, -0.00471884
