Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.492, -1, -1, 379.983, -0.0159117, 297, 180, 0, 0, 1, 6.2203, 5, 24, 315.375, -0.0758568, 297.038, 179.983, -0.00486866, 0.00435895
24.821, -1, -2, 315.375, -228.676, 297, 180, 0, 0, 1, 5.01404, 5, 24, 310.123, -228.74, 297.002, 179.999, -0.0118886, 8.46897e-05
33.694, -1, -3, 310.085, -228.737, 297.007, 179.991, -0.00931078, 0.00550779, 1, 11.6125, 12, 25, 348.179, 358.835, 297.027, 179.985, 0.00343976, 0.00281814
33.694, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 22.8468, 22, 73, 323.63, 359.399, 297, 180, 0, 0
Fine Spiral Search
48.969, 0, 0, 422.871, 255.493, 297, 180, 0, 0, 1, 1.13124, NA, 19, 422.057, 256.057, 296.934, 179.987, 0.00648621, 0.000306932
50.277, 0, 1, 411.56, -201.023, 296.934, 179.987, 0.00648621, 0.000306932, 1, 0.100432, NA, 1, 411.577, -201.062, 296.905, 179.988, 0.00362336, 0.00196465
55.341, 1, 0, 422.057, 256.057, 296.934, 179.987, 0.00648621, 0.000306932, 1, 0.1017, NA, 1, 422.052, 256.068, 296.92, 179.983, 0.0049543, 0.00166464
60.323, 1, 1, 411.577, -201.062, 296.905, 179.988, 0.00362336, 0.00196465, 1, 0.100533, NA, 1, 411.574, -201.104, 296.871, 179.988, 0.00562617, -0.00422763
