Goal, RMMASq1
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
16.843, -1, -1, 380.008, -0.0359769, 297, 180, 0, 0, 1, 7.12871, 61, 292.98, -0.0187362, 297.008, -179.994, 0.00335651, -0.000504376
26.942, -1, -2, 292.98, -228.619, 297, 180, 0, 0, 1, 4.61387, 43, 293.733, -228.602, 296.961, -179.998, 0.00833242, -0.000486671
36.417, -1, -3, 343.78, 345.921, 297, 180, 0, 0, 1, 3.14542, 31, 343.712, 367.428, 296.884, 179.997, 0.019262, 0.000563962
36.417, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.888, 135, 291.769, 367.257, 297, 180, 0, 0
Fine Spiral Search
49.372, 0, 0, 393.703, 265.992, 297, 180, 0, 0, 1, 0.000232118, 1, 393.738, 265.97, 297.037, -179.997, -0.00522542, -0.00809448
49.507, 0, 1, 395.245, -191.228, 297.037, -179.997, -0.00522542, -0.00809448, 1, 2.52311, 47, 395.35, -192.163, 296.953, -179.99, -0.000116338, 0.0230822
56.881, 1, 0, 393.738, 265.97, 297.037, -179.997, -0.00522542, -0.00809448, 1, 0.103349, 3, 393.736, 265.285, 297.021, -180, 0.00325292, -0.00751672
61.732, 1, 1, 395.35, -192.163, 296.953, -179.99, -0.000116338, 0.0230822, 1, 2.49287, 47, 395.404, -192.444, 296.853, -179.989, 0.0150582, 0.0443115
