Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
Bisect
13.158, -1, -1, 463.512, 172.149, 297, 180, 0, 0, 1, 20.4652, 160, 460.401, 191.149, 297, -180, 5.86756e-05, 0.000197022
41.195, -1, -2, 455.726, -282.911, 297, 180, 0, 0, 1, 21.4866, 170, 457.717, -266.808, 297, -180, 5.86868e-05, 0.000197001
Fine Spiral Search
65.228, 0, 0, 409.602, 191.446, 297, 180, 0, 0, 1, 7.36064, 137, 412.24, 193.127, 297, -180, 5.86756e-05, 0.000197014
77.554, 0, 1, 409.556, -264.829, 297, -180, 5.86756e-05, 0.000197014, 1, 0.000119217, 1, 409.556, -264.832, 297, -180, 5.8687e-05, 0.000197001
82.416, 1, 0, 412.24, 193.127, 297, -180, 5.86756e-05, 0.000197014, 1, 0.101762, 3, 412.283, 192.89, 297, -180, 5.86703e-05, 0.00019701
87.373, 1, 1, 409.556, -264.832, 297, -180, 5.8687e-05, 0.000197001, 1, 0.103708, 3, 409.557, -264.828, 297, -180, 5.86799e-05, 0.000197013
