Goal, TEST
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
40.199, -1, -1, 379.962, 0.00249677, 297, 180, 0, 0, 1, 7.46734, 67, 333.062, -0.0416407, 297.021, 179.997, -0.00908094, 0.00236796
49.775, -1, -2, 333.062, -228.642, 297, 180, 0, 0, 1, 1.635, 9, 337.951, -228.641, 297.025, 179.993, 0.0065542, 0.00119712
56.133, -1, -3, 434.662, 228.558, 297, 180, 0, 0, 1, 5.36666, 45, 434.661, 319.347, 296.931, 179.989, 0.00283101, 0.0113275
56.133, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.469, 121, 326.283, 317.03, 297, 180, 0, 0
Fine Spiral Search
69.855, 0, 0, 430.031, 217.625, 297, 180, 0, 0, 1, 0.840768, 17, 430.559, 218.541, 297.082, 179.998, -0.0224726, 0.00702346
70.803, 0, 1, 440.333, -238.554, 297.082, 179.998, -0.0224726, 0.00702346, 1, 10.6203, 205, 436.804, -238.209, 297.105, -180, -0.024454, 0.000762994
86.265, 1, 0, 430.559, 218.541, 297.082, 179.998, -0.0224726, 0.00702346, 1, 0.104649, 3, 430.584, 218.18, 297.028, -179.998, -0.0110321, 0.00905111
91.099, 1, 1, 436.804, -238.209, 297.105, -180, -0.024454, 0.000762994, 1, 0.000100269, 1, 436.819, -237.793, 297.072, -179.998, -0.018533, 0.0152067
