Goal, RMMASq1
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.965, -1, -1, 379.999, -0.0120141, 297, 180, 0, 0, 1, 5.77781, 13, 48, 305.017, -0.0674742, 297.007, 179.99, -0.0164544, 0.000589431
23.75, -1, -2, 305.017, -228.667, 297, 180, 0, 0, 1, 3.58953, 3, 35, 306.679, -228.728, 297.039, 179.985, 0.0147814, -0.00399056
31.076, -1, -3, 306.648, -228.726, 297.019, 179.986, 0.0228911, 0.000847885, 1, 10.1283, 15, 41, 344.796, 365.44, 297.019, 179.994, 0.0171109, -0.0100101
31.076, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 19.4956, 31, 124, 302.363, 365.132, 297, 180, 0, 0
Fine Spiral Search
44.673, 0, 0, 404.699, 264.273, 297, 180, 0, 0, 1, 0.000140929, NA, 1, 404.704, 264.31, 296.979, -179.988, 0.00362627, 0.00600848
44.781, 0, 1, 408.026, -192.877, 296.979, -179.988, 0.00362627, 0.00600848, 1, 3.91562, NA, 77, 406.537, -195.076, 296.822, -179.975, 0.015749, 0.00391163
53.651, 1, 0, 404.704, 264.31, 296.979, -179.988, 0.00362627, 0.00600848, 1, 7.89516e-05, NA, 1, 404.672, 264.368, 296.949, -179.988, 0.015387, 0.0095309
58.601, 1, 1, 406.537, -195.076, 296.822, -179.975, 0.015749, 0.00391163, 1, 7.97411e-05, NA, 1, 406.536, -195.111, 296.725, -179.956, 0.0228622, 0.010816
