Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.012, -1, -1, 380.001, 0.0137212, 297, 180, 0, 0, 1, 5.56127, 15, 45, 329.001, 0.0511789, 296.953, -179.994, 0.00110973, 0.0075167
23.711, -1, -2, 329.001, -228.549, 297, 180, 0, 0, 1, 3.5542, 6, 33, 323.701, -228.581, 296.949, 179.998, 0.0102323, 0.0052764
31.086, -1, -3, 323.707, -228.51, 296.932, -179.991, 0.0105796, -0.00976595, 1, 9.13792, 12, 32, 361.775, 336.592, 296.969, -179.985, 0.00877364, -0.00827926
31.086, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 18.2534, 33, 110, 336.815, 337.17, 297, 180, 0, 0
Fine Spiral Search
43.921, 0, 0, 436.034, 233.243, 297, 180, 0, 0, 1, 0.834114, NA, 17, 435.512, 234.106, 296.979, 179.987, 0.00662963, 0.0109213
45.01, 0, 1, 424.917, -222.972, 296.979, 179.987, 0.00662963, 0.0109213, 1, 7.89516e-05, NA, 1, 424.893, -222.997, 296.968, 179.995, 0.00834296, 0.0111492
49.889, 1, 0, 435.512, 234.106, 296.979, 179.987, 0.00662963, 0.0109213, 1, 8.56625e-05, NA, 1, 435.494, 234.134, 296.935, 179.981, 0.0121566, 0.0178246
54.977, 1, 1, 424.893, -222.997, 296.968, 179.995, 0.00834296, 0.0111492, 1, 8.88205e-05, NA, 1, 424.869, -223.009, 296.972, 179.995, 0.00877128, -0.00119823
