Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
17.514, -1, -1, 379.977, -0.00855191, 297, 180, 0, 0, 1, 4.3607, 39, 329.944, -0.0229436, 296.954, 179.986, 0.0095502, 0.0113564
24.013, -1, -2, 329.944, -228.623, 297, 180, 0, 0, 1, 5.86767, 54, 330.621, -228.575, 296.945, -179.99, 0.0106838, -0.00257451
34.614, -1, -3, 380.744, 350.006, 297, 180, 0, 0, 1, 4.16517, 39, 380.712, 365.795, 296.932, 179.992, 0.0105962, -0.012241
34.614, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.3935, 132, 328.86, 365.641, 297, 180, 0, 0
Fine Spiral Search
48.705, 0, 0, 430.761, 264.342, 297, 180, 0, 0, 1, 2.182, 41, 429.23, 265.316, 296.988, 179.997, 0.00568746, -0.00457284
51.005, 0, 1, 430.585, -191.882, 296.988, 179.997, 0.00568746, -0.00457284, 1, 0.10323, 3, 430.564, -191.94, 296.908, -179.993, 0.0186186, -0.00360287
55.87, 1, 0, 429.23, 265.316, 296.988, 179.997, 0.00568746, -0.00457284, 1, 36.3638, 667, 428.095, 264.822, 297.106, -179.998, -0.00470194, -0.015123
96.908, 1, 1, 430.564, -191.94, 296.908, -179.993, 0.0186186, -0.00360287, 1, 0.103417, 3, 430.603, -191.501, 296.915, -179.992, 0.02016, -0.000751924
