Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.221, -1, -1, 379.987, -0.0371172, 297, 180, 0, 0, 1, 5.41039, 13, 43, 303.598, -0.0190887, 296.923, -179.997, 0.0132384, 0.00878773
23.644, -1, -2, 303.598, -228.619, 297, 180, 0, 0, 1, 2.48194, 3, 24, 302.827, -228.581, 296.922, -179.974, 0.00648317, 0.00712368
30.079, -1, -3, 302.838, -228.581, 296.96, -179.975, -0.00213754, 0.0125969, 1, 8.16039, 13, 23, 340.9, 350.38, 297.042, -179.963, -0.00618533, 0.0115293
30.079, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.0527, 29, 90, 304.781, 350.501, 297, 180, 0, 0
Fine Spiral Search
41.638, 0, 0, 406.037, 248.559, 297, 180, 0, 0, 1, 2.00143, NA, 37, 405.094, 249.94, 297.089, -179.995, -0.0141825, 0.000561064
43.753, 0, 1, 403.552, -207.258, 297.089, -179.995, -0.0141825, 0.000561064, 1, 0.000495026, NA, 1, 403.522, -207.276, 297.131, -179.998, -0.0139079, -0.00107422
48.612, 1, 0, 405.094, 249.94, 297.089, -179.995, -0.0141825, 0.000561064, 1, 0.000427128, NA, 1, 405.038, 250.048, 297.017, -179.997, 0.00608072, 0.00551724
53.578, 1, 1, 403.522, -207.276, 297.131, -179.998, -0.0139079, -0.00107422, 1, 0.117934, NA, 3, 403.509, -207.3, 297.12, -179.992, -0.0139991, -0.000361588
