Goal, TEST
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
56.429, -1, -1, 380.001, 4.40872e-07, 297, 180, 0, 0, 1, 15.158, 125, 268.003, 1.11939e-07, 297, -180, 5.8691e-05, 0.00019702
73.715, -1, -2, 268.003, -228.6, 297, 180, 0, 0, 1, 1.5448, 15, 270.047, -228.6, 297, -180, 5.86859e-05, 0.000197018
80.002, -1, -3, 318.803, 228.6, 297, 180, 0, 0, 1, 15.8409, 124, 318.802, 377.85, 297, -180, 5.86807e-05, 0.00019702
80.002, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 32.5437, 264, 264.628, 377.365, 297, 180, 0, 0
Fine Spiral Search
104.485, 0, 0, 367.132, 276.678, 297, 180, 0, 0, 1, 3.58991, 69, 365.133, 277.809, 297, -180, 5.86769e-05, 0.000197023
108.197, 0, 1, 369.221, -179.373, 297, -180, 5.86769e-05, 0.000197023, 1, 0.000206064, 1, 369.221, -179.374, 297, -180, 5.86747e-05, 0.000197022
113.153, 1, 0, 365.133, 277.809, 297, -180, 5.86769e-05, 0.000197023, 1, 0.000304753, 1, 365.132, 277.809, 297, -180, 5.86799e-05, 0.00019702
118.226, 1, 1, 369.221, -179.374, 297, -180, 5.86747e-05, 0.000197022, 1, 9.43471e-05, 1, 369.221, -179.374, 297, -180, 5.86766e-05, 0.000197015
