Goal, RMMASq3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
17.194, -1, -1, 379.983, -0.0282792, 297, 180, 0, 0, 1, 3.19776, 31, 357.169, -0.00714318, 297.001, -179.99, -0.00321537, -0.00589559
22.104, -1, -2, 357.169, 228.593, 297, 180, 0, 0, 1, 4.41243, 42, 358.412, 228.63, 297.001, 179.986, -0.0068929, -0.00116019
30.136, -1, -3, 407.969, -347.854, 297, 180, 0, 0, 1, 4.16296, 41, 408.022, -320.562, 297.008, -179.999, -0.0116795, 0.0114606
30.136, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 11.7732, 114, 355.427, -320.276, 297, 180, 0, 0
Fine Spiral Search
44.164, 0, 0, 406.779, -218.954, 297, 180, 0, 0, 1, 7.85569e-05, 1, 406.757, -218.929, 297.051, 179.986, -0.00198154, 0.0136491
44.273, 0, 1, 409.243, 238.265, 297.051, 179.986, -0.00198154, 0.0136491, 1, 0.000131455, 1, 409.206, 237.671, 296.986, 179.99, 0.00980374, 0.0084861
49.11, 1, 0, 406.757, -218.929, 297.051, 179.986, -0.00198154, 0.0136491, 1, 0.000140929, 1, 406.716, -218.979, 296.977, 179.995, 0.00770027, 0.0273885
53.944, 1, 1, 409.206, 237.671, 296.986, 179.99, 0.00980374, 0.0084861, 1, 8.36888e-05, 1, 409.143, 237.815, 296.914, 179.992, 0.0289169, 0.00380252
