Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.299, -1, -1, 379.978, -0.016053, 297, 180, 0, 0, 1, 3.90962, 6, 28, 324.466, 0.0353074, 297.073, 179.984, -0.0165008, -0.00373323
22.332, -1, -2, 324.466, -228.565, 297, 180, 0, 0, 1, 3.65268, 6, 34, 319.175, -228.582, 296.959, -179.996, 0.0104673, 0.00861683
30.01, -1, -3, 319.173, -228.599, 296.978, 179.996, 0.00660721, 0.00718755, 1, 9.59807, 14, 37, 357.264, 334.632, 297.035, -179.997, 0.00237208, 0.00818416
30.01, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 17.1604, 26, 99, 332.225, 335.211, 297, 180, 0, 0
Fine Spiral Search
43.174, 0, 0, 431.446, 231.287, 297, 180, 0, 0, 1, 0.957499, NA, 19, 430.425, 231.719, 297.061, 179.997, -0.0109834, 0.00551646
44.443, 0, 1, 419.845, -225.359, 297.061, 179.997, -0.0109834, 0.00551646, 1, 9.43471e-05, NA, 1, 419.827, -225.418, 296.999, -179.99, -0.00764087, 0.00856129
49.422, 1, 0, 430.425, 231.719, 297.061, 179.997, -0.0109834, 0.00551646, 1, 0.000232907, NA, 1, 430.413, 231.766, 297.045, 179.996, -0.0104504, 0.0123699
54.447, 1, 1, 419.827, -225.418, 296.999, -179.99, -0.00764087, 0.00856129, 1, 9.11891e-05, NA, 1, 419.833, -225.482, 296.953, -179.979, -0.00796737, 0.0161083
