Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.698, -1, -1, 379.977, 0.0372259, 297, 180, 0, 0, 1, 4.48846, 15, 39, 330.136, -0.00950317, 297.112, 179.985, -0.0191005, 0.00582796
23.293, -1, -2, 330.136, -228.61, 297, 180, 0, 0, 1, 2.44727, 4, 24, 326.883, -228.674, 296.997, 179.994, -0.00384813, 0.0183915
29.563, -1, -3, 326.893, -228.687, 297.001, 179.99, -0.00687193, 0.0231572, 1, 8.42287, 13, 25, 364.962, 357.705, 297.008, 179.994, 0.00620508, 0.00677836
29.563, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.3586, 32, 88, 335.23, 358.128, 297, 180, 0, 0
Fine Spiral Search
41.522, 0, 0, 435.375, 255.093, 297, 180, 0, 0, 1, 0.100511, NA, 1, 435.338, 255.069, 297.007, -179.997, -0.000466289, -0.000951865
41.727, 0, 1, 428.835, -202.085, 297.007, -179.997, -0.000466289, -0.000951865, 1, 1.13935, NA, 21, 427.923, -198.96, 296.955, -179.981, 0.000280328, -0.00670305
47.695, 1, 0, 435.338, 255.069, 297.007, -179.997, -0.000466289, -0.000951865, 1, 16.5921, NA, 319, 434.233, 255.095, 297.181, -179.991, -0.0182536, 0.00305443
69.016, 1, 1, 427.923, -198.96, 296.955, -179.981, 0.000280328, -0.00670305, 1, 0.101386, NA, 1, 427.882, -198.975, 296.906, -179.974, 0.0113959, -0.0176124
