Goal, TEST
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
44.714, -1, -1, 380.06, 0.0413206, 297, 180, 0, 0, 1, 7.03867, 63, 332.011, -0.0140538, 296.957, -179.995, 0.00968568, -0.00414751
53.863, -1, -2, 332.011, -228.614, 297, 180, 0, 0, 1, 1.63024, 9, 337.656, -228.58, 297.028, 179.997, 0.000799604, 0.00807109
60.415, -1, -3, 380.042, 300.182, 297, 180, 0, 0, 1, 2.74183, 26, 380.032, 319.145, 296.982, -179.998, -0.00180101, -0.0181422
60.415, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 11.4107, 98, 324.162, 317.765, 297, 180, 0, 0
Fine Spiral Search
72.319, 0, 0, 428.24, 218.705, 297, 180, 0, 0, 1, 0.207103, 5, 428.363, 219.04, 296.968, 179.992, 0.00670509, 0.01671
72.633, 0, 1, 439.652, -238.021, 296.968, 179.992, 0.00670509, 0.01671, 1, 14.4442, 277, 435.964, -236.111, 297.005, 179.988, 0.0139979, 0.0377218
91.806, 1, 0, 428.363, 219.04, 296.968, 179.992, 0.00670509, 0.01671, 1, 0.103153, 3, 428.351, 219.107, 296.938, 179.994, 0.0121729, 0.020859
96.635, 1, 1, 435.964, -236.111, 297.005, 179.988, 0.0139979, 0.0377218, 1, 0.102808, 3, 435.972, -236.111, 296.977, 179.987, 0.0182962, 0.0370271
