Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
19.362, -2, -1, 467.682, 248.759, 297, 180, 0, 0, 1, 0.455514, 3, 477.772, 248.836, 296.939, -179.992, -0.00714783, -0.0115833
44.646, -2, -2, 468.051, -207.401, 297, 180, 0, 0, 1, 9.71106e-05, 1, 468.026, -207.505, 296.966, 179.995, 0.00529818, -0.000619258
Bisect
20.172, -1, -1, 477.772, 248.836, 297, 180, 0, 0, 1, 17.5325, 136, 484.264, 226.1, 296.989, -179.988, -0.0151943, -0.00817278
45.001, -1, -2, 468.026, -207.505, 297, 180, 0, 0, 0, 0, 0, 467.974, -207.53, 296.937, 179.992, 0.0181958, -0.0040286
