Goal, 3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
21.983, -2, -1, 250.537, -585.481, 297, 180, 0, 0, 1, 17.5292, 55, 290.537, -575.48, 297, -180, 5.86799e-05, 0.000197068
70.286, -2, -2, -206.882, -579.969, 297, 180, 0, 0, 1, 29.0782, 87, -156.882, -579.968, 297, -180, 5.86852e-05, 0.000197021
Bisect
39.872, -1, -1, 290.537, -575.48, 297, 180, 0, 0, 1, 22.4974, 184, 311.372, -571.068, 297, -180, 5.86891e-05, 0.000197063
99.723, -1, -2, -156.882, -579.968, 297, 180, 0, 0, 1, 22.4965, 182, -144.405, -575.557, 297, -180, 5.86811e-05, 0.000197022
Fine Spiral Search
124.737, 0, 0, 310.871, -520.271, 297, 180, 0, 0, 1, 0.000114979, 1, 310.87, -520.271, 297, -180, 5.86852e-05, 0.000197017
129.647, 0, 1, -144.906, -524.76, 297, -180, 5.86852e-05, 0.000197017, 1, 0.000129599, 1, -144.906, -524.759, 297, -180, 5.86769e-05, 0.000197031
134.559, 1, 0, 310.87, -520.271, 297, -180, 5.86852e-05, 0.000197017, 1, 0.00011656, 1, 310.871, -520.271, 297, -180, 5.86747e-05, 0.000197027
139.567, 1, 1, -144.906, -524.759, 297, -180, 5.86769e-05, 0.000197031, 1, 0.102718, 3, -144.702, -524.758, 297, -180, 5.86767e-05, 0.00019702
