Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.962, -1, -1, 379.985, -0.0429333, 297, 180, 0, 0, 1, 3.98175, 7, 28, 320.435, 0.036704, 297.053, 179.994, -0.0226654, 0.00694814
22.083, -1, -2, 320.435, -228.563, 297, 180, 0, 0, 1, 4.07349, 5, 38, 318.686, -228.518, 297.021, -179.992, -0.00259735, 0.0134501
30.282, -1, -3, 318.682, -228.564, 297.012, -179.989, -0.00349348, 0.0114073, 1, 8.52896, 6, 22, 363.2, 368.622, 297.021, -179.993, -0.00571894, -0.00554401
30.282, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.5842, 18, 88, 323.258, 368.928, 297, 180, 0, 0
Fine Spiral Search
42.547, 0, 0, 424.077, 266.553, 297, 180, 0, 0, 1, 1.04838, NA, 21, 423.005, 267.023, 296.993, -179.999, 0.00322463, -0.0022767
43.852, 0, 1, 419.507, -190.164, 296.993, -179.999, 0.00322463, -0.0022767, 1, 0.000142902, NA, 1, 419.458, -190.242, 296.938, -179.988, 0.0137545, -0.00841871
48.732, 1, 0, 423.005, 267.023, 296.993, -179.999, 0.00322463, -0.0022767, 1, 0.000328044, NA, 1, 423.01, 267.039, 297.021, 179.994, -0.00517081, -0.00228308
53.728, 1, 1, 419.458, -190.242, 296.938, -179.988, 0.0137545, -0.00841871, 1, 0.000136586, NA, 1, 419.434, -190.323, 296.914, -179.991, 0.0187774, -0.00983275
