seconds_since_epoch, robot_x, robot_y, robot_th
seconds since epoch (s), robot_x (mm), robot_y (mm), robot_th (degrees), recv time (s), x recv time (s), y recv time (s), th recv time (s), time recv time (s)
RobotPose
1502389429.223000, 4191.000000, -4426.000000, 34.600000
1502389429.322000, 4191.000000, -4426.000000, 34.600000
1502389429.423000, 4191.000000, -4426.000000, 34.600000
1502389429.523000, 4191.000000, -4426.000000, 34.600000
1502389429.624000, 4191.000000, -4426.000000, 34.600000
1502389429.722000, 4191.000000, -4426.000000, 34.600000
1502389429.823000, 4191.000000, -4426.000000, 34.600000
1502389429.922000, 4191.000000, -4426.000000, 34.600000
1502389430.023000, 4191.000000, -4426.000000, 34.600000
1502389430.122000, 4191.000000, -4426.000000, 34.600000
1502389430.223000, 4191.000000, -4426.000000, 34.600000
1502389430.323000, 4191.000000, -4426.000000, 34.600000
1502389430.422000, 4191.000000, -4426.000000, 34.600000
1502389430.523000, 4191.000000, -4426.000000, 34.600000
1502389430.623000, 4191.000000, -4426.000000, 34.600000
1502389430.723000, 4191.000000, -4426.000000, 34.600000
1502389430.824000, 4191.000000, -4426.000000, 34.600000
1502389430.924000, 4191.000000, -4426.000000, 34.600000
1502389431.023000, 4191.000000, -4426.000000, 34.600000
1502389431.124000, 4191.000000, -4426.000000, 34.600000
1502389431.224000, 4191.000000, -4426.000000, 34.600000
1502389431.324000, 4191.000000, -4426.000000, 34.600000
1502389431.424000, 4191.000000, -4426.000000, 34.600000
1502389431.524000, 4191.000000, -4426.000000, 34.600000
1502389431.623000, 4191.000000, -4426.000000, 34.600000
1502389431.724000, 4191.000000, -4426.000000, 34.600000
1502389431.824000, 4191.000000, -4426.000000, 34.600000
1502389431.923000, 4191.000000, -4426.000000, 34.600000
1502389432.024000, 4191.000000, -4426.000000, 34.600000
1502389432.123000, 4191.000000, -4426.000000, 34.600000
1502389432.224000, 4191.000000, -4426.000000, 34.600000
1502389432.324000, 4191.000000, -4426.000000, 34.600000
1502389432.423000, 4191.000000, -4426.000000, 34.600000
1502389432.523000, 4191.000000, -4426.000000, 34.600000
1502389432.623000, 4191.000000, -4426.000000, 34.600000
1502389432.724000, 4191.000000, -4426.000000, 34.600000
1502389432.824000, 4191.000000, -4426.000000, 34.600000
1502389432.924000, 4191.000000, -4426.000000, 34.600000
1502389433.024000, 4191.000000, -4426.000000, 34.600000
1502389433.124000, 4191.000000, -4426.000000, 34.600000
1502389433.223000, 4191.000000, -4426.000000, 34.600000
1502389433.324000, 4191.000000, -4426.000000, 34.600000
1502389433.424000, 4191.000000, -4426.000000, 34.600000
1502389433.524000, 4191.000000, -4426.000000, 34.600000
1502389433.623000, 4191.000000, -4426.000000, 34.600000
1502389433.724000, 4191.000000, -4426.000000, 34.600000
1502389433.824000, 4191.000000, -4426.000000, 34.600000
1502389433.923000, 4191.000000, -4426.000000, 34.600000
1502389434.024000, 4191.000000, -4426.000000, 34.600000
1502389434.124000, 4191.000000, -4426.000000, 34.600000
1502389434.223000, 4191.000000, -4426.000000, 34.600000
1502389434.324000, 4191.000000, -4426.000000, 34.600000
1502389434.424000, 4191.000000, -4426.000000, 34.600000
1502389434.524000, 4191.000000, -4426.000000, 34.600000
1502389434.624000, 4191.000000, -4426.000000, 34.600000
1502389434.724000, 4191.000000, -4426.000000, 34.600000
1502389434.823000, 4191.000000, -4426.000000, 34.600000
1502389434.924000, 4191.000000, -4426.000000, 34.600000
1502389435.023000, 4191.000000, -4426.000000, 34.600000
1502389435.123000, 4191.000000, -4426.000000, 34.600000
1502389435.224000, 4191.000000, -4426.000000, 34.600000
1502389435.324000, 4191.000000, -4426.000000, 34.600000
1502389435.423000, 4191.000000, -4426.000000, 34.600000
1502389435.523000, 4191.000000, -4426.000000, 34.600000
1502389435.623000, 4191.000000, -4426.000000, 34.600000
1502389435.724000, 4191.000000, -4426.000000, 34.600000
1502389435.824000, 4191.000000, -4426.000000, 34.600000
1502389435.923000, 4191.000000, -4426.000000, 34.600000
1502389436.024000, 4191.000000, -4426.000000, 34.600000
1502389436.124000, 4191.000000, -4426.000000, 34.600000
1502389436.224000, 4191.000000, -4426.000000, 34.600000
1502389436.323000, 4191.000000, -4426.000000, 34.600000
1502389436.424000, 4191.000000, -4426.000000, 34.600000
1502389436.524000, 4191.000000, -4426.000000, 34.600000
1502389436.623000, 4191.000000, -4426.000000, 34.600000
1502389436.723000, 4191.000000, -4426.000000, 34.600000
1502389436.824000, 4191.000000, -4426.000000, 34.600000
1502389436.924000, 4191.000000, -4426.000000, 34.600000
1502389437.023000, 4191.000000, -4426.000000, 34.600000
1502389437.123000, 4191.000000, -4426.000000, 34.600000
1502389437.224000, 4191.000000, -4426.000000, 34.600000
1502389437.324000, 4191.000000, -4426.000000, 34.600000
1502389437.424000, 4191.000000, -4426.000000, 34.600000
1502389437.524000, 4191.000000, -4426.000000, 34.600000
1502389437.624000, 4191.000000, -4426.000000, 34.600000
1502389437.723000, 4191.000000, -4426.000000, 34.600000
1502389437.824000, 4191.000000, -4426.000000, 34.600000
1502389437.924000, 4191.000000, -4426.000000, 34.600000
1502389438.023000, 4191.000000, -4426.000000, 34.600000
1502389438.124000, 4191.000000, -4426.000000, 34.600000
1502389438.224000, 4191.000000, -4426.000000, 34.600000
1502389438.324000, 4191.000000, -4426.000000, 34.600000
1502389438.424000, 4191.000000, -4426.000000, 34.600000
1502389438.524000, 4191.000000, -4426.000000, 34.600000
1502389438.623000, 4191.000000, -4426.000000, 34.600000
1502389438.724000, 4191.000000, -4426.000000, 34.600000
1502389438.824000, 4191.000000, -4426.000000, 34.600000
1502389438.924000, 4191.000000, -4426.000000, 34.600000
1502389439.023000, 4191.000000, -4426.000000, 34.600000
1502389439.124000, 4191.000000, -4426.000000, 34.600000
1502389439.223000, 4191.000000, -4426.000000, 34.600000
1502389439.324000, 4191.000000, -4426.000000, 34.600000
1502389439.423000, 4191.000000, -4426.000000, 34.600000
1502389439.524000, 4191.000000, -4426.000000, 34.600000
1502389439.624000, 4191.000000, -4426.000000, 34.600000
1502389439.723000, 4191.000000, -4426.000000, 34.600000
1502389439.823000, 4191.000000, -4426.000000, 34.600000
1502389439.924000, 4191.000000, -4426.000000, 34.600000
1502389440.024000, 4191.000000, -4426.000000, 34.600000
1502389440.124000, 4191.000000, -4426.000000, 34.600000
1502389440.224000, 4191.000000, -4426.000000, 34.600000
1502389440.324000, 4191.000000, -4426.000000, 34.600000
1502389440.423000, 4191.000000, -4426.000000, 34.600000
1502389440.524000, 4191.000000, -4426.000000, 34.600000
1502389440.624000, 4191.000000, -4426.000000, 34.600000
