Goal, RMMASq1
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.282, -1, -1, 379.987, -0.0270502, 297, 180, 0, 0, 1, 6.60394, 19, 54, 276.672, 0.0126534, 297.025, 179.997, -0.0137775, 0.0126175
24.898, -1, -2, 276.672, -228.587, 297, 180, 0, 0, 1, 3.10205, 1, 30, 281.959, -228.62, 296.986, -179.988, -0.00141324, -0.00555935
31.724, -1, -3, 281.909, -228.638, 296.976, -179.99, -0.0050128, -0.0118107, 1, 10.4235, 17, 43, 320.05, 376.029, 296.954, -179.999, 0.00239238, -0.0187349
31.724, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 20.1295, 37, 127, 268.005, 374.826, 297, 180, 0, 0
Fine Spiral Search
45.58, 0, 0, 371.926, 275.602, 297, 180, 0, 0, 1, 0.000304358, NA, 1, 371.965, 275.605, 297.055, -179.991, -0.0145278, -0.000102576
45.687, 0, 1, 382.535, -181.473, 297.055, -179.991, -0.0145278, -0.000102576, 1, 4.13896, NA, 79, 382.053, -183.451, 297.041, -179.989, -0.01653, 0.0163949
54.768, 1, 0, 371.965, 275.605, 297.055, -179.991, -0.0145278, -0.000102576, 1, 9.35576e-05, NA, 1, 371.983, 275.669, 297.075, -179.991, -0.0191338, 0.00674877
59.701, 1, 1, 382.053, -183.451, 297.041, -179.989, -0.01653, 0.0163949, 1, 0.000837281, NA, 1, 382.018, -183.491, 297.03, -179.992, -0.00752156, 0.0136492
