Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.325, -1, -1, 379.992, -0.0249337, 297, 180, 0, 0, 1, 4.55314, 13, 38, 324.821, -0.0158558, 296.842, -179.997, 0.0221086, 0.00379513
22.897, -1, -2, 324.821, -228.616, 297, 180, 0, 0, 1, 2.69579, 3, 26, 324.488, -228.623, 296.971, -179.992, 0.00629005, -0.0111265
29.339, -1, -3, 324.489, -228.68, 297, -180, 0.00468313, -0.0180037, 1, 8.18124, 7, 19, 362.61, 380.063, 296.973, -179.992, 0.00911265, -0.0288403
29.339, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.4302, 23, 83, 325.374, 380.117, 297, 180, 0, 0
Fine Spiral Search
40.922, 0, 0, 426.826, 278.37, 297, 180, 0, 0, 1, 1.08446, NA, 21, 425.839, 278.843, 296.993, -179.988, 0.0093658, -0.0124492
42.13, 0, 1, 425.173, -178.357, 296.993, -179.988, 0.0093658, -0.0124492, 1, 0.332444, NA, 7, 424.87, -178.199, 296.919, -179.976, 0.0129425, -0.0138485
47.319, 1, 0, 425.839, 278.843, 296.993, -179.988, 0.0093658, -0.0124492, 1, 0.105345, NA, 3, 425.876, 278.858, 296.964, -179.988, 0.00568205, -0.00904651
52.166, 1, 1, 424.87, -178.199, 296.919, -179.976, 0.0129425, -0.0138485, 1, 0.000328044, NA, 1, 424.837, -175.848, 296.833, -179.954, 0.0286581, -0.00868738
