Goal, RMMASq1
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.428, -1, -1, 380.024, -0.0235042, 297, 180, 0, 0, 1, 6.8017, 17, 56, 280.023, -0.0444864, 296.977, 179.985, 0.0100408, -0.00312601
25.243, -1, -2, 280.023, -228.644, 297, 180, 0, 0, 1, 3.74615, 5, 33, 285.817, -228.714, 297.042, 179.988, -0.014516, -0.0106848
32.731, -1, -3, 285.775, -228.733, 297.012, 179.987, -0.00389361, -0.0127387, 1, 9.91797, 13, 37, 323.932, 381.182, 297.059, 179.986, -0.0148275, -0.02537
32.731, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 20.4658, 35, 126, 270.397, 379.825, 297, 180, 0, 0
Fine Spiral Search
46.041, 0, 0, 374.538, 280.831, 297, 180, 0, 0, 1, 0.000211985, NA, 1, 374.578, 280.775, 297.037, -179.996, -0.00600146, -0.00156877
46.147, 0, 1, 386.159, -176.278, 297.037, -179.996, -0.00600146, -0.00156877, 1, 116.062, NA, 2189, 385.941, -177.949, 296.926, -179.981, 0.00934881, 0.00869023
166.943, 1, 0, 374.578, 280.775, 297.037, -179.996, -0.00600146, -0.00156877, 1, 0.000102637, NA, 1, 374.564, 280.831, 297.017, -179.987, 0.00303458, 0.00329005
171.874, 1, 1, 385.941, -177.949, 296.926, -179.981, 0.00934881, 0.00869023, 1, 7.89516e-05, NA, 1, 385.889, -178.029, 296.868, -179.972, 0.0266423, 0.011504
