Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.802, -1, -1, 380.014, -0.0694754, 297, 180, 0, 0, 1, 4.84654, 11, 40, 327.221, -0.0441637, 296.977, 179.991, -0.00100939, 0.00312897
22.655, -1, -2, 327.221, -228.644, 297, 180, 0, 0, 1, 3.0807, 5, 26, 331.46, -228.768, 296.856, -179.994, 0.0184257, -0.00129304
29.486, -1, -3, 331.419, -228.727, 296.889, -179.991, 0.00979369, -0.0136263, 1, 7.72709, 7, 13, 369.554, 398.408, 296.923, -179.987, -0.000875068, -0.0199354
29.486, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.6543, 23, 79, 319.853, 397.487, 297, 180, 0, 0
Fine Spiral Search
40.651, 0, 0, 423.318, 297.788, 297, 180, 0, 0, 1, 1.00635, NA, 19, 422.281, 298.168, 296.929, 179.992, 0.0104584, -0.00414857
41.768, 0, 1, 430.753, -158.953, 296.929, 179.992, 0.0104584, -0.00414857, 1, 9.35576e-05, NA, 1, 430.729, -159.012, 296.908, 179.993, 0.015423, -0.0110591
46.71, 1, 0, 422.281, 298.168, 296.929, 179.992, 0.0104584, -0.00414857, 1, 25.7665, NA, 477, 422.464, 298.619, 296.908, 179.991, 0.00202887, 0.00277347
77.315, 1, 1, 430.729, -159.012, 296.908, 179.993, 0.015423, -0.0110591, 1, 32.9756, NA, 615, 430.025, -155.579, 296.813, -179.983, 0.0289907, -0.00107342
