Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.697, -1, -1, 379.987, -0.0233993, 297, 180, 0, 0, 1, 4.2714, 11, 35, 324.322, 0.0656883, 296.939, -179.993, 0.00619446, 0.0142587
21.987, -1, -2, 324.322, -228.534, 297, 180, 0, 0, 1, 2.5933, 5, 25, 319.061, -228.574, 296.981, -179.994, -0.000875666, 0.00448198
28.226, -1, -3, 319.024, -228.574, 296.991, -179.995, 0.00158488, 0.0031166, 1, 8.19429, 11, 23, 357.13, 349.826, 297, -179.996, 0.018736, -0.00296014
28.226, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.059, 27, 83, 332.382, 350.395, 297, 180, 0, 0
Fine Spiral Search
39.783, 0, 0, 431.618, 246.485, 297, 180, 0, 0, 1, 0.964333, NA, 19, 430.638, 246.817, 296.927, 179.982, 0.0127109, -0.00157989
40.858, 0, 1, 420.121, -210.262, 296.927, 179.982, 0.0127109, -0.00157989, 1, 0.000308701, NA, 1, 420.197, -206.627, 296.916, 179.981, 0.0165233, -0.00219041
45.599, 1, 0, 430.638, 246.817, 296.927, 179.982, 0.0127109, -0.00157989, 1, 8.56624e-05, NA, 1, 430.583, 246.842, 296.887, 179.984, 0.0233412, 0.00192284
50.445, 1, 1, 420.197, -206.627, 296.916, 179.981, 0.0165233, -0.00219041, 1, 0.00119414, NA, 1, 420.142, -206.663, 296.832, 179.992, 0.0307046, -0.00278414
