Goal, 3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
22.013, -2, -1, 227.441, -619.172, 297, 180, 0, 0, 1, 3.16457, 11, 247.441, -629.172, 297, -180, 5.86685e-05, 0.000197026
54.433, -2, -2, -229.943, -611.265, 297, 180, 0, 0, 1, 3.0695, 11, -209.941, -621.265, 297, -180, 5.86747e-05, 0.000197018
Bisect
25.539, -1, -1, 247.441, -629.172, 297, 180, 0, 0, 1, 21.1839, 171, 260.088, -616.206, 297, -180, 5.86685e-05, 0.000197026
57.864, -1, -2, -209.941, -621.265, 297, 180, 0, 0, 1, 22.4945, 182, -196.091, -616.268, 297, -180, 5.86747e-05, 0.000197014
Fine Spiral Search
82.873, 0, 0, 260.081, -565.406, 297, 180, 0, 0, 1, 0.000137501, 1, 259.809, -565.437, 297, -180, 5.86735e-05, 0.000197019
87.781, 0, 1, -196.37, -565.499, 297, -180, 5.86735e-05, 0.000197019, 1, 0.000111423, 1, -196.37, -565.499, 297, -180, 5.86769e-05, 0.00019702
92.792, 1, 0, 259.809, -565.437, 297, -180, 5.86735e-05, 0.000197019, 1, 9.64088e-05, 1, 258.794, -565.437, 297, -180, 5.8685e-05, 0.000197013
97.7, 1, 1, -196.37, -565.499, 297, -180, 5.86769e-05, 0.00019702, 1, 0.000176223, 1, -196.37, -565.499, 297, -180, 5.86686e-05, 0.000197033
