Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.688, -1, -1, 379.998, -0.00437554, 297, 180, 0, 0, 1, 4.15123, 13, 34, 330.78, 0.0520933, 297.003, -179.985, -0.000523283, 0.000985823
21.948, -1, -2, 330.78, -228.548, 297, 180, 0, 0, 1, 2.16481, 4, 21, 327.058, -228.537, 296.944, -179.982, -0.00199835, 0.00959521
27.942, -1, -3, 327.025, -228.551, 296.991, -179.987, -0.00683196, -0.000704177, 1, 7.22902, 5, 13, 365.133, 345.223, 297.038, -179.985, -0.000624933, -0.0139548
27.942, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 13.5451, 22, 68, 336.408, 345.691, 297, 180, 0, 0
Fine Spiral Search
38.713, 0, 0, 436.34, 242.45, 297, 180, 0, 0, 1, 1.03674, NA, 19, 435.817, 243.438, 297.07, -179.995, -0.0147413, 0.0145761
39.879, 0, 1, 428.374, -213.702, 297.07, -179.995, -0.0147413, 0.0145761, 1, 0.101153, NA, 1, 428.338, -213.762, 297.065, -179.988, -0.0152013, 0.0158756
44.726, 1, 0, 435.817, 243.438, 297.07, -179.995, -0.0147413, 0.0145761, 1, 0.1015, NA, 1, 435.817, 243.45, 297.054, -179.997, -0.0107831, 0.0173394
49.768, 1, 1, 428.338, -213.762, 297.065, -179.988, -0.0152013, 0.0158756, 1, 0.101261, NA, 1, 428.305, -213.779, 297.042, -179.982, -0.0127556, 0.0152153
