Goal, TEST
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
132.937, -1, -1, 380.032, 0.0873655, 297, 180, 0, 0, 1, 7.44063, 67, 332.898, -0.00226628, 297.02, 179.998, -0.00298272, 0.0189106
142.488, -1, -2, 332.898, -228.602, 297, 180, 0, 0, 1, 1.63042, 9, 337.498, -228.696, 297.096, 179.971, -0.015055, 0.00509815
149.04, -1, -3, 434.498, 300.237, 297, 180, 0, 0, 1, 2.73452, 25, 434.438, 319.44, 296.977, 179.992, 0.00419534, 0.00725151
149.04, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 11.8056, 101, 326.517, 317.269, 297, 180, 0, 0
Fine Spiral Search
160.946, 0, 0, 430.139, 217.733, 297, 180, 0, 0, 1, 0.833129, 17, 430.651, 218.649, 297.046, 179.986, -0.0168222, 0.01742
161.885, 0, 1, 439.845, -238.458, 297.046, 179.986, -0.0168222, 0.01742, 1, 43.0359, 821, 435.099, -235.707, 297.085, 179.982, -0.00498992, 0.0463221
209.645, 1, 0, 430.651, 218.649, 297.046, 179.986, -0.0168222, 0.01742, 1, 0.103231, 3, 430.621, 218.711, 297.002, 179.989, -0.00835392, 0.0208874
214.476, 1, 1, 435.099, -235.707, 297.085, 179.982, -0.00498992, 0.0463221, 1, 0.103086, 3, 435.134, -235.673, 297.117, 179.979, -0.00955957, 0.0477133
