Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
32.446, -1, -1, 379.973, -0.0199035, 297, 180, 0, 0, 1, 2.9449, 27, 305.482, -0.0101657, 296.989, -179.995, -0.00240404, -0.00352261
52.726, -1, -2, 305.482, -228.61, 297, 180, 0, 0, 1, 3.89501, 36, 298.716, -228.571, 296.899, 179.998, 0.0138888, -0.000626936
75.263, -1, -3, 356.282, 287.714, 297, 180, 0, 0, 1, 2.95955, 29, 356.322, 296.326, 297.057, 179.992, -0.014888, -0.0103208
75.263, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 9.79946, 92, 314.292, 297.57, 297, 180, 0, 0
Fine Spiral Search
102.302, 0, 0, 412.841, 193.008, 297, 180, 0, 0, 1, 0.957867, 19, 411.804, 193.273, 297.051, 179.982, -0.0117582, -0.0156884
118.377, 0, 1, 398.276, -263.727, 297.051, 179.982, -0.0117582, -0.0156884, 1, 0.000162245, 1, 398.302, -263.075, 296.977, 179.991, -0.00744397, -0.0195117
