Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.081, -1, -1, 379.992, -0.0104196, 297, 180, 0, 0, 1, 3.0355, 9, 23, 328.263, -0.0692146, 296.99, 179.994, 0.00521447, 0.00568274
21.142, -1, -2, 328.263, -228.669, 297, 180, 0, 0, 1, 2.93207, 5, 28, 324.006, -228.669, 296.895, -179.991, 0.00809299, 0.00735139
27.927, -1, -3, 323.975, -228.685, 296.934, -179.999, 0.0080023, 0.000456654, 1, 7.95832, 5, 17, 362.135, 372.953, 296.912, 179.998, 0.00789308, -0.00709094
27.927, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 13.9259, 19, 68, 335.217, 373.454, 297, 180, 0, 0
Fine Spiral Search
39.537, 0, 0, 434.908, 269.98, 297, 180, 0, 0, 1, 2.19931, NA, 41, 433.374, 270.846, 296.963, -179.993, 0.00473043, 0.00295199
41.857, 0, 1, 424.863, -186.274, 296.963, -179.993, 0.00473043, 0.00295199, 1, 0.117179, NA, 3, 424.843, -186.314, 296.9, -179.985, 0.00919765, -0.00646688
46.733, 1, 0, 433.374, 270.846, 296.963, -179.993, 0.00473043, 0.00295199, 1, 43.3267, NA, 775, 432.72, 270.232, 297.032, -179.998, 0.000649645, 0.00140527
94.716, 1, 1, 424.843, -186.314, 296.9, -179.985, 0.00919765, -0.00646688, 1, 0.000499763, NA, 1, 424.829, -186.385, 296.848, -179.975, 0.0119699, -0.00505539
