Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.92, -1, -1, 379.989, -0.00625549, 297, 180, 0, 0, 1, 1.13237, 1, 2, 326.828, 0.0397934, 297.045, 179.994, -0.0130396, 0.00736502
20.198, -1, -2, 326.828, -228.56, 297, 180, 0, 0, 1, 3.38991, 8, 28, 315.555, -228.564, 297.021, -179.998, -0.00122658, 0.019515
27.497, -1, -3, 315.569, -228.57, 297.014, -179.995, -0.00332001, 0.0201836, 1, 7.03521, 5, 15, 353.64, 303.126, 297, -179.99, -0.00770929, 0.0287667
27.497, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 11.5575, 14, 45, 341.804, 303.71, 297, 180, 0, 0
Fine Spiral Search
38.398, 0, 0, 438.276, 197.229, 297, 180, 0, 0, 1, 26.6718, NA, 493, 432.822, 200.22, 297.003, -179.992, -0.00596366, -0.00451329
65.341, 0, 1, 410.302, -256.425, 297.003, -179.992, -0.00596366, -0.00451329, 1, 2.9622, NA, 57, 412.355, -255.91, 297.029, -179.981, -0.0184633, -0.00630284
73.19, 1, 0, 432.822, 200.22, 297.003, -179.992, -0.00596366, -0.00451329, 1, 8.8031e-05, NA, 1, 432.804, 200.288, 296.925, -179.999, 0.0017296, 0.000282652
78.075, 1, 1, 412.355, -255.91, 297.029, -179.981, -0.0184633, -0.00630284, 1, 0.21869, NA, 5, 412.709, -255.908, 297.067, -179.991, -0.0126258, -0.000703331
