Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.192, -1, -1, 379.993, -0.0555522, 297, 180, 0, 0, 1, 2.98765, 5, 21, 316.108, -0.0295002, 296.934, 179.996, 0.0172812, 0.0035226
21.186, -1, -2, 316.108, -228.63, 297, 180, 0, 0, 1, 2.77526, 5, 27, 311.348, -228.631, 296.957, -179.988, -0.00300204, 0.0118734
27.893, -1, -3, 311.353, -228.624, 296.931, -179.982, -0.00859127, 0.0118647, 1, 8.3061, 11, 23, 349.426, 360.078, 296.93, -179.987, 0.00506726, -0.0258185
27.893, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.069, 21, 71, 323.617, 360.615, 297, 180, 0, 0
Fine Spiral Search
39.646, 0, 0, 423.08, 256.922, 297, 180, 0, 0, 1, 2.00248, NA, 39, 421.955, 258.198, 296.932, 179.994, 0.0126994, 0.00223493
41.756, 0, 1, 412.438, -198.903, 296.932, 179.994, 0.0126994, 0.00223493, 1, 0.106451, NA, 3, 412.383, -198.84, 296.889, -179.998, 0.023922, -0.00364923
46.601, 1, 0, 421.955, 258.198, 296.932, 179.994, 0.0126994, 0.00223493, 1, 0.107294, NA, 3, 421.945, 258.249, 296.914, 179.998, 0.0142356, 0.00909504
51.444, 1, 1, 412.383, -198.84, 296.889, -179.998, 0.023922, -0.00364923, 1, 0.103759, NA, 3, 412.319, -198.86, 296.849, -179.986, 0.0352936, -0.00423026
