Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.662, -1, -1, 380.041, -0.0157494, 297, 180, 0, 0, 1, 8.45961, 13, 37, 311.538, 0.028382, 297.015, 179.992, -0.00405918, 0.00138578
27.229, -1, -2, 311.538, -228.572, 297, 180, 0, 0, 1, 4.94612, 3, 24, 310.533, -228.512, 297.002, -179.998, -0.00982764, 0.00495195
35.905, -1, -3, 310.543, -228.508, 296.997, -179.995, -0.0142118, -0.00122417, 1, 11.1456, 13, 23, 348.693, 376.896, 297.037, 179.998, -0.01525, -0.0184413
35.905, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 24.5513, 29, 84, 313.195, 377.052, 297, 180, 0, 0
Fine Spiral Search
50.797, 0, 0, 414.347, 275.007, 297, 180, 0, 0, 1, 1.17681, NA, 21, 413.386, 275.336, 296.924, 179.988, 0.00136477, -0.00684462
52.105, 0, 1, 411.376, -181.86, 296.924, 179.988, 0.00136477, -0.00684462, 1, 0.101379, NA, 1, 411.351, -181.908, 296.892, 179.99, 0.0062878, -0.00932036
56.938, 1, 0, 413.386, 275.336, 296.924, 179.988, 0.00136477, -0.00684462, 1, 0.100316, NA, 1, 413.381, 275.368, 296.895, 179.986, 0.00740547, -0.00610964
61.979, 1, 1, 411.351, -181.908, 296.892, 179.99, 0.0062878, -0.00932036, 1, 0.310286, NA, 5, 411.51, -181.721, 296.816, 179.991, 0.0103965, -0.00453658
