Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.445, -1, -1, 379.981, -0.0350596, 297, 180, 0, 0, 1, 4.92516, 15, 42, 323.748, 0.033626, 296.831, -179.984, 0.0217248, 0.0164533
23.395, -1, -2, 323.748, -228.566, 297, 180, 0, 0, 1, 2.92327, 3, 28, 324.04, -228.56, 296.961, -179.994, -0.000369257, 0.0108309
30.27, -1, -3, 323.954, -228.585, 296.941, -179.997, 0.00628527, 0.00600152, 1, 8.53869, 7, 23, 362.217, 375.079, 296.949, -179.997, -0.000860145, -0.0119747
30.27, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.3871, 25, 93, 323.27, 375.03, 297, 180, 0, 0
Fine Spiral Search
42.216, 0, 0, 424.999, 273.559, 297, 180, 0, 0, 1, 2.01613, NA, 39, 423.55, 274.493, 297.091, -179.981, -0.0134289, -0.00992387
44.341, 0, 1, 424.133, -182.706, 297.091, -179.981, -0.0134289, -0.00992387, 1, 0.111807, NA, 3, 424.122, -182.411, 297.119, -179.989, -0.00754438, -0.0088577
49.195, 1, 0, 423.55, 274.493, 297.091, -179.981, -0.0134289, -0.00992387, 1, 0.106194, NA, 3, 423.559, 274.463, 297.094, -179.991, -0.0185574, -0.00306205
54.057, 1, 1, 424.122, -182.411, 297.119, -179.989, -0.00754438, -0.0088577, 1, 0.104573, NA, 3, 424.056, -182.483, 297.06, -179.99, 0.00700849, -0.0129686
