Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.982, -1, -1, 379.993, -0.0209853, 297, 180, 0, 0, 1, 3.33429, 5, 24, 321.724, 0.0180968, 296.961, 179.999, 0.00198673, -0.0104726
21.423, -1, -2, 321.724, -228.582, 297, 180, 0, 0, 1, 3.9028, 4, 37, 321.719, -228.565, 296.942, -179.988, 0.000374058, 0.0120987
29.151, -1, -3, 321.712, -228.553, 296.932, -179.985, 0.00151743, 0.0114295, 1, 8.99723, 11, 29, 359.736, 368.345, 296.951, -179.987, 0.00796018, 0.0146073
29.151, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.2343, 20, 90, 321.733, 368.346, 297, 180, 0, 0
Fine Spiral Search
41.698, 0, 0, 423.331, 266.743, 297, 180, 0, 0, 1, 2.26105, NA, 41, 421.815, 267.676, 297.023, 179.995, 0.0015978, -0.0104492
44.067, 0, 1, 421.804, -189.524, 297.023, 179.995, 0.0015978, -0.0104492, 1, 0.101309, NA, 1, 421.8, -189.578, 296.974, -179.995, 0.00428182, -0.0141753
48.907, 1, 0, 421.815, 267.676, 297.023, 179.995, 0.0015978, -0.0104492, 1, 0.100542, NA, 1, 421.809, 267.712, 297.031, 179.987, -0.00249202, 0.00122212
53.942, 1, 1, 421.8, -189.578, 296.974, -179.995, 0.00428182, -0.0141753, 1, 0.10028, NA, 1, 421.776, -189.641, 296.973, -179.998, 0.00885833, -0.0134815
