Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.142, -1, -1, 379.997, -0.0467294, 297, 180, 0, 0, 1, 4.89435, 9, 40, 328.435, 0.0728715, 296.978, -179.989, 0.0057385, 0.0221964
53.062, -1, -2, 328.435, -228.527, 297, 180, 0, 0, 1, 3.1027, 6, 30, 322.166, -228.512, 296.934, -179.988, 0.00434624, 0.000443388
74.989, -1, -3, 322.155, -228.534, 296.924, -179.987, 0.00711218, -0.00364354, 1, 8.30061, 9, 25, 360.239, 336.019, 296.961, -179.995, 0.00330601, -0.0209216
74.989, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.2977, 24, 95, 337.665, 336.638, 297, 180, 0, 0
Fine Spiral Search
101.957, 0, 0, 436.441, 232.291, 297, 180, 0, 0, 1, 2.04903, NA, 39, 435.489, 233.631, 297.089, 179.994, -0.020675, -0.0209383
119.139, 0, 1, 422.956, -223.397, 297.089, 179.994, -0.020675, -0.0209383, 1, 0.102974, NA, 3, 422.931, -223.456, 297.048, 179.993, -0.0110137, -0.0154627
