Goal, RMMASq1
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
18.881, -2, -1, 490.518, 262.494, 297, 180, 0, 0, 1, 5.21929, 17, 480.517, 282.496, 297, -180, 5.86912e-05, 0.000197021
Bisect
24.496, -1, -1, 480.517, 282.496, 297, 180, 0, 0, 1, 28.8165, 238, 467.127, 284.496, 297, -180, 5.86912e-05, 0.000197021
61.038, -1, -2, 486.447, -195.624, 297, 180, 0, 0, 0, 0, 0, 486.447, -195.623, 297, -180, 5.86797e-05, 0.00019703
