Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.894, -1, -1, 379.979, 0.00919222, 297, 180, 0, 0, 1, 4.55909, 14, 34, 323.257, -0.0466449, 296.812, -179.999, 0.0382677, 0.0104411
22.561, -1, -2, 323.257, -228.647, 297, 180, 0, 0, 1, 2.83182, 4, 27, 320.974, -228.657, 296.941, -179.991, 0.00851218, 0.00731338
29.219, -1, -3, 320.976, -228.641, 296.923, -179.986, 0.00600633, 0.00317366, 1, 9.48148, 14, 32, 359.07, 360.089, 296.84, -179.986, 0.0307064, -0.00837143
29.219, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.8724, 32, 93, 326.856, 360.411, 297, 180, 0, 0
Fine Spiral Search
42.239, 0, 0, 427.437, 257.801, 297, 180, 0, 0, 1, 13.9579, NA, 263, 423.44, 260.257, 297.031, -179.984, -0.00874908, -0.0109604
56.309, 0, 1, 418.874, -196.92, 297.031, -179.984, -0.00874908, -0.0109604, 1, 38.5871, NA, 721, 420.245, -195.674, 297.063, -179.983, 0.00758529, 0.0106571
99.635, 1, 0, 423.44, 260.257, 297.031, -179.984, -0.00874908, -0.0109604, 1, 0.103571, NA, 3, 423.429, 260.146, 296.942, -179.986, 0.00511358, -0.00613997
104.473, 1, 1, 420.245, -195.674, 297.063, -179.983, 0.00758529, 0.0106571, 1, 0.525198, NA, 11, 420.296, -195.31, 297.117, -179.988, -0.00906266, 0.0257349
