Goal, 3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
51.389, -2, -2, -183.556, -617.859, 297, -180, 5.86684e-05, 0.000197037, 1, 2.41042, 9, -183.556, -627.859, 297, -180, 5.8649e-05, 0.00019702
Bisect
22.176, -1, -1, 253.79, -621.821, 297, 180, 0, 0, 1, 21.8922, 178, 273.644, -617.859, 297, -180, 5.86684e-05, 0.000197037
54.158, -1, -2, -203.191, -641.671, 297, 180, 0, 0, 1, 21.5768, 169, -182.306, -639.857, 297, -180, 5.86561e-05, 0.000197018
Fine Spiral Search
78.246, 0, 0, 271.196, -567.118, 297, 180, 0, 0, 1, 0.727365, 15, 271.563, -566.702, 297, -180, 5.86519e-05, 0.000197023
83.882, 0, 1, -184.388, -588.7, 297, -180, 5.86519e-05, 0.000197023, 1, 0.000126831, 1, -184.388, -588.7, 297, -180, 5.8654e-05, 0.000197032
88.79, 1, 0, 271.563, -566.702, 297, -180, 5.86519e-05, 0.000197023, 1, 4.56755, 89, 271.894, -566.389, 297, -180, 5.86541e-05, 0.000197017
98.173, 1, 1, -184.388, -588.7, 297, -180, 5.8654e-05, 0.000197032, 1, 0.000109051, 1, -184.387, -588.7, 297, -180, 5.86522e-05, 0.000197017
