Goal, 3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
21.876, -2, -1, 229.922, -631.275, 297, 180, 0, 0, 1, 0.651641, 3, 239.923, -631.277, 297, -180, 5.86686e-05, 0.000197019
Bisect
22.888, -1, -1, 229.922, -631.275, 297, 180, 0, 0, 1, 22.2947, 182, 259.78, -629.174, 297, -180, 5.86686e-05, 0.000197019
52.499, -1, -2, -227.474, -635.164, 297, 180, 0, 0, 1, 22.0914, 176, -196.917, -636.174, 297, -180, 5.86655e-05, 0.000197038
Fine Spiral Search
77.11, 0, 0, 259.002, -578.38, 297, 180, 0, 0, 1, 0.30966, 7, 258.502, -578.379, 297, -180, 5.86653e-05, 0.000197021
82.331, 0, 1, -198.196, -585.379, 297, -180, 5.86653e-05, 0.000197021, 1, 0.103306, 3, -198.196, -585.379, 297, -180, 5.86684e-05, 0.000197024
87.246, 1, 0, 258.502, -578.379, 297, -180, 5.86653e-05, 0.000197021, 1, 0.000160811, 1, 258.503, -578.379, 297, -180, 5.86643e-05, 0.000197014
92.155, 1, 1, -198.196, -585.379, 297, -180, 5.86684e-05, 0.000197024, 1, 0.000124065, 1, -198.197, -585.379, 297, -180, 5.86666e-05, 0.000197021
