seconds_since_epoch, robot_x, robot_y, robot_th
1501163860.493000, 6119.000000, -1377.000000, 90.700000
1501164020.792000, 7650.000000, -1526.000000, -88.400000
1501164184.189000, 6126.000000, -1351.000000, 90.400000
1501164364.686000, 7648.000000, -1519.000000, -88.300000
1501164521.385000, 6120.000000, -1379.000000, 88.700000
