Goal, RMMASq3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
32.005, -1, -1, 379.996, -0.026866, 297, 180, 0, 0, 1, 3.70746, 26, 345.13, 0.00334436, 297.058, 179.997, -0.0194646, 0.0106373
53.245, -1, -2, 345.13, 228.603, 297, 180, 0, 0, 1, 4.12724, 39, 343.593, 228.593, 296.919, 179.989, 0.00747827, -0.00197025
76.216, -1, -3, 395.93, -272.359, 297, 180, 0, 0, 1, 6.74896, 35, 395.879, -318.606, 297.098, 179.984, -0.00684609, 0.0139541
76.216, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.5837, 100, 347.274, -318.933, 297, 180, 0, 0
Fine Spiral Search
106.942, 0, 0, 397.39, -216.994, 297, 180, 0, 0, 1, 1.03513, 21, 396.414, -216.541, 296.975, -179.997, -0.00440233, -0.0230939
123.122, 0, 1, 393.34, 240.649, 296.975, -179.997, -0.00440233, -0.0230939, 1, 9.51366e-05, 1, 393.303, 240.745, 296.921, 179.997, -0.0011112, -0.0213903
