seconds_since_epoch,  Client ID, Goal, robot_x, robot_y, robot_th
1578500961.091000, 552, RMMASq2, 7694.000000, 134.000000, 1.700000
1578501192.783000, 552, RMMASq3, 9174.000000, 110.000000, -177.700000
1578501414.375000, 552, RMMASq2, 7684.000000, 179.000000, 1.700000
1578501635.868000, 552, RMMASq3, 9130.000000, 152.000000, -179.500000
1578501857.660000, 552, RMMASq2, 7696.000000, 176.000000, 1.200000
1578502079.352000, 552, RMMASq3, 9168.000000, 145.000000, -178.400000
1578502300.845000, 552, RMMASq2, 7681.000000, 168.000000, 1.400000
1578502522.437000, 552, RMMASq3, 9161.000000, 154.000000, -178.400000
1578502743.929000, 552, RMMASq2, 7685.000000, 166.000000, 1.300000
1578502965.621000, 552, RMMASq3, 9147.000000, 146.000000, -179.800000
1578503187.213000, 552, RMMASq2, 7696.000000, 146.000000, 1.700000
1578503408.706000, 552, RMMASq3, 9128.000000, 189.000000, 176.800000
