seconds_since_epoch,  Client ID, Goal, robot_x, robot_y, robot_th
1583176083.443000, 548, RMMASq2, 924.000000, -806.000000, 0.700000
1583176496.630000, 548, RMMASq3, 2490.000000, -825.000000, -177.600000
1583176889.616000, 548, RMMASq2, 956.000000, -802.000000, 2.300000
1583177282.503000, 548, RMMASq3, 2403.000000, -774.000000, 178.200000
1583177675.188000, 548, RMMASq2, 925.000000, -800.000000, 1.400000
1583178076.769000, 548, RMMASq3, 2489.000000, -807.000000, -177.600000
1583178490.254000, 548, RMMASq2, 982.000000, -786.000000, 1.500000
1583178893.240000, 548, RMMASq3, 2418.000000, -795.000000, -177.400000
1583179296.226000, 548, RMMASq2, 967.000000, -803.000000, 2.000000
1583179699.212000, 548, RMMASq3, 2494.000000, -823.000000, -177.000000
1583180092.300000, 548, RMMASq2, 979.000000, -772.000000, 2.900000
