robot_X, robot_Y, robot_Z, truth_X, truth_Y, truth_Z
525.171,0.243516,11.0735,525,0,11
525.13,0.344016,11.3558,525,0,11
525.13,0.344016,11.3558,525,0,11
525.13,0.344016,11.3558,525,0,11
525.13,0.344016,11.3558,525,0,11
525.13,0.344016,11.3558,525,0,11
525.13,0.344016,11.3558,525,0,11
525.13,0.344016,11.3558,525,0,11
0.209133,0.0217226,10.877,0,0,11
524.968,624.563,11.0904,525,625,11
