Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
31.892, -1, -1, 380.006, -0.00659862, 297, 180, 0, 0, 1, 4.60753, 10, 37, 331.889, -0.0377534, 296.875, 179.992, 0.0250466, 0.0157638
52.71, -1, -2, 331.889, -228.638, 297, 180, 0, 0, 1, 3.02924, 6, 29, 325.364, -228.621, 296.982, -179.996, 0.00191065, 0.0129103
74.674, -1, -3, 325.359, -228.585, 296.962, -179.99, 0.00127845, 0.024595, 1, 7.52588, 6, 14, 386.046, 351.192, 297.071, -179.973, -0.00370202, 0.0175707
74.674, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.1627, 22, 80, 341.951, 352.45, 297, 180, 0, 0
Fine Spiral Search
100.853, 0, 0, 440.61, 247.993, 297, 180, 0, 0, 1, 3.51672, NA, 67, 439.098, 249.934, 297.037, 179.999, -0.00431001, 0.00309454
119.633, 0, 1, 426.053, -207.08, 297.037, 179.999, -0.00431001, 0.00309454, 1, 0.0003109, NA, 1, 425.975, -207.146, 297.059, 179.998, 0.00197424, -0.0117651
