Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.35, -1, -1, 379.957, 0.0142922, 297, 180, 0, 0, 1, 5.06095, 12, 42, 324.603, 0.0673257, 296.95, -179.999, 0.0156856, 0.0279959
53.619, -1, -2, 324.603, -228.533, 297, 180, 0, 0, 1, 3.3603, 6, 33, 319.247, -228.537, 296.943, 179.999, 0.0180398, 0.00105487
75.913, -1, -3, 319.324, -228.523, 296.988, 179.996, -0.00121068, 0.000977845, 1, 7.10061, 6, 16, 375.624, 288.48, 296.928, 179.984, -0.00480659, 0.00219318
75.913, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.5219, 24, 91, 331.385, 289.516, 297, 180, 0, 0
Fine Spiral Search
101.564, 0, 0, 430.577, 185.564, 297, 180, 0, 0, 1, 2.06155, NA, 41, 429.053, 186.545, 296.896, 179.995, 0.0112455, 0.0065233
118.88, 0, 1, 418.344, -270.529, 296.896, 179.995, 0.0112455, 0.0065233, 1, 8.19e-05, NA, 1, 418.287, -270.622, 296.899, 179.99, 0.0126311, -0.0069269
