Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.719, -1, -1, 379.994, -0.0208918, 297, 180, 0, 0, 1, 5.00755, 12, 39, 304.813, -0.0227245, 296.923, -179.995, 0.013048, 0.00358418
53.936, -1, -2, 304.813, -228.623, 297, 180, 0, 0, 1, 2.05853, 4, 20, 300.556, -228.575, 296.954, -179.99, 0.0045383, 0.00705349
74.929, -1, -3, 300.57, -228.596, 296.954, -179.998, 0.00193, 0.01451, 1, 8.06379, 12, 26, 345.025, 291.589, 296.881, -179.994, 0.0169171, 0.00249078
74.929, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.1299, 28, 85, 310.258, 292.237, 297, 180, 0, 0
Fine Spiral Search
101.776, 0, 0, 409.948, 188.762, 297, 180, 0, 0, 1, 0.0009914, NA, 1, 409.89, 188.723, 296.955, 179.996, 0.0130456, -0.00221831
117.041, 0, 1, 401.374, -268.397, 296.955, 179.996, 0.0130456, -0.00221831, 1, 0.329613, NA, 7, 401.084, -268.176, 296.916, -179.998, 0.0141909, -0.00223594
