Goal, RMMASq3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.198, -1, -1, 379.991, -0.0567287, 297, 180, 0, 0, 1, 4.9724, 12, 37, 286.01, -0.103833, 296.775, -179.997, 0.04987, 3.06868e-05
53.382, -1, -2, 286.01, 228.496, 297, 180, 0, 0, 1, 3.82085, 8, 37, 277.2, 228.47, 296.91, 179.994, 0.0188687, 0.00397522
76.135, -1, -3, 277.248, 228.468, 296.968, 179.998, 0.00337861, 0.010773, 1, 8.95851, 12, 32, 341.931, -318.683, 296.863, -179.995, 0.0220318, 3.38875e-05
76.135, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 17.7518, 32, 106, 298.353, -320.362, 297, 180, 0, 0
Fine Spiral Search
103.555, 0, 0, 345.203, -216.881, 297, 180, 0, 0, 1, 0.102777, NA, 3, 345.191, -216.874, 296.994, -179.995, -0.00310142, -0.0042365
118.915, 0, 1, 327.582, 239.987, 296.994, -179.995, -0.00310142, -0.0042365, 1, 0.0002113, NA, 1, 327.586, 240.056, 296.949, -179.991, 0.00216374, -0.00268935
