Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.613, -1, -1, 380, -0.00583965, 297, 180, 0, 0, 1, 4.44421, 8, 33, 306.019, -0.0640267, 296.967, 179.996, 0.0115717, -0.0105303
53.27, -1, -2, 306.019, -228.664, 297, 180, 0, 0, 1, 3.07659, 4, 30, 304.263, -228.633, 296.968, -179.997, 0.00221796, 0.00353892
75.274, -1, -3, 304.259, -228.626, 296.987, 179.998, 0.0014591, 0.00284294, 1, 8.70274, 8, 30, 348.194, 305.497, 296.943, -180, 0.00432445, -0.00783615
75.274, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.2235, 20, 93, 308.369, 305.803, 297, 180, 0, 0
Fine Spiral Search
102.663, 0, 0, 409.186, 203.425, 297, 180, 0, 0, 1, 2.09494, NA, 41, 407.686, 204.378, 297.034, 179.994, -0.0183723, -0.00329457
120.016, 0, 1, 404.173, -252.809, 297.034, 179.994, -0.0183723, -0.00329457, 1, 0.0001841, NA, 1, 404.172, -252.893, 297.011, 179.999, -0.0232749, -0.0063445
