Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
31.904, -1, -1, 379.969, -0.0351563, 297, 180, 0, 0, 1, 4.29288, 6, 32, 312.45, -0.0144664, 296.903, -179.993, 0.0188189, 0.00189663
52.403, -1, -2, 312.45, -228.614, 297, 180, 0, 0, 1, 4.39669, 10, 43, 300.631, -228.586, 297.003, -179.995, -0.00746337, 0.00495082
75.736, -1, -3, 300.691, -228.596, 297.023, -179.998, -0.00794898, -0.00534481, 1, 8.10889, 6, 26, 345.042, 264.548, 296.996, -179.993, -0.0113274, -0.00115172
75.736, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.7984, 22, 101, 326.182, 265.523, 297, 180, 0, 0
Fine Spiral Search
102.583, 0, 0, 422.399, 158.812, 297, 180, 0, 0, 1, 1.04914, NA, 21, 421.342, 159.329, 296.897, -179.998, 0.0186044, 0.00574031
118.89, 0, 1, 397.731, -297.261, 296.897, -179.998, 0.0186044, 0.00574031, 1, 0.0001657, NA, 1, 397.688, -297.339, 296.847, -179.999, 0.0308217, -0.00597922
