Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
31.747, -1, -1, 380.011, -0.0109123, 297, 180, 0, 0, 1, 4.73513, 6, 35, 301.425, -0.00267311, 296.947, -179.996, -0.000734799, 0.00533663
52.689, -1, -2, 301.425, -228.603, 297, 180, 0, 0, 1, 3.39021, 8, 33, 291.502, -228.572, 296.989, -179.998, 7.8569e-05, 0.0215398
75.103, -1, -3, 291.464, -228.619, 296.985, 179.993, 0.00220651, 0.0187243, 1, 8.12598, 8, 26, 335.259, 289.726, 296.911, 179.997, 0.00762119, 0.00443646
75.103, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.2513, 22, 94, 314.044, 290.647, 297, 180, 0, 0
Fine Spiral Search
101.875, 0, 0, 411.141, 184.736, 297, 180, 0, 0, 1, 3.57746, NA, 69, 409.081, 186.196, 297.131, -179.994, -0.0148805, -0.00281456
120.712, 0, 1, 389.251, -270.574, 297.131, -179.994, -0.0148805, -0.00281456, 1, 0.0001692, NA, 1, 389.213, -270.61, 297.101, -179.985, -0.00923282, -0.0075039
