Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.468, -1, -1, 380.002, 0.0120443, 297, 180, 0, 0, 1, 4.75858, 10, 35, 290.793, 0.000433621, 296.941, 179.999, 0.00581152, -0.00391132
53.435, -1, -2, 290.793, -228.6, 297, 180, 0, 0, 1, 2.67036, 6, 26, 283.455, -228.611, 296.986, -179.994, 0.0191241, -0.00283485
74.836, -1, -3, 283.45, -228.595, 297.007, -179.991, 0.019152, 0.00273624, 1, 9.9182, 14, 38, 345.988, 356.686, 296.99, 179.994, 0.0159551, -0.00335997
74.836, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 17.3471, 30, 99, 302.286, 358.089, 297, 180, 0, 0
Fine Spiral Search
103.4, 0, 0, 400.574, 253.282, 297, 180, 0, 0, 1, 1.89159, NA, 37, 399.649, 254.729, 296.941, 179.998, 0.0116218, 0.0130922
