Goal, RMMASq3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.721, -1, -1, 380.002, -0.0604249, 297, 180, 0, 0, 1, 2.98998, 7, 29, 371.223, -0.0115583, 296.993, -179.997, 0.00988967, 0.0114401
51.923, -1, -2, 371.223, 228.588, 297, 180, 0, 0, 1, 3.77025, 10, 31, 374.321, 228.588, 296.878, 179.987, 0.00763841, 0.00975801
74.633, -1, -3, 374.374, 228.568, 296.949, 179.995, -0.00713288, 0.0062207, 1, 8.47341, 9, 26, 411.665, -309.546, 296.928, 179.996, -0.0147396, 0.00116216
74.633, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.2336, 26, 86, 367.037, -308.942, 297, 180, 0, 0
Fine Spiral Search
101.881, 0, 0, 419.209, -208.039, 297, 180, 0, 0, 1, 3.06924, NA, 41, 417.676, -207.135, 297.005, 179.981, -0.00401379, -0.0137635
120.258, 0, 1, 423.871, 250.023, 297.005, 179.981, -0.00401379, -0.0137635, 1, 0.0002459, NA, 1, 423.875, 250.104, 296.971, 179.979, 0.0014807, -0.0098642
