Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
144.574, -2, -1, 491.161, 224.617, 297, 180, 0, 0, 1, 10.7833, 37, 471.178, 254.592, 296.931, 179.989, -0.000700717, 0.00853306
200.313, -2, -2, 460.728, -229.754, 297, 180, 0, 0, 1, 4.67285, 17, 450.7, -209.816, 296.927, 179.996, 0.0120231, -0.00235728
Bisect
155.784, -1, -1, 471.178, 254.592, 297, 180, 0, 0, 1, 21.6572, 174, 471.729, 268.315, 296.961, 179.987, -0.00801598, 0.00781954
205.355, -1, -2, 450.7, -209.816, 297, 180, 0, 0, 0, 0, 0, 450.658, -209.823, 296.886, 179.998, 0.0205344, -0.00578621
