Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.243, -1, -1, 380.007, -0.0251216, 297, 180, 0, 0, 1, 3.42366, 8, 25, 323.262, 0.00975947, 297.088, 179.991, -0.0213032, 0.00825519
21.78, -1, -2, 323.262, -228.59, 297, 180, 0, 0, 1, 2.46026, 4, 24, 320.198, -228.653, 296.988, -179.996, -0.000239298, -0.00650008
28.067, -1, -3, 320.19, -228.619, 296.992, -179.999, 0.00310342, -0.00650298, 1, 8.90194, 8, 28, 364.67, 348.47, 296.985, -179.992, 0.0107672, -0.0103213
28.067, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.7859, 20, 77, 327.939, 348.962, 297, 180, 0, 0
Fine Spiral Search
40.507, 0, 0, 428.168, 246.01, 297, 180, 0, 0, 1, 1.03434, NA, 21, 427.178, 246.292, 296.914, 179.986, 0.0120505, -0.0083919
41.795, 0, 1, 421.051, -210.867, 296.914, 179.986, 0.0120505, -0.0083919, 1, 8.8031e-05, NA, 1, 421.023, -210.937, 296.825, -179.997, 0.025107, -0.00765655
46.675, 1, 0, 427.178, 246.292, 296.914, 179.986, 0.0120505, -0.0083919, 1, 8.76363e-05, NA, 1, 427.188, 246.29, 296.879, 179.983, 0.0188769, -0.0124835
51.756, 1, 1, 421.023, -210.937, 296.825, -179.997, 0.025107, -0.00765655, 1, 9.11891e-05, NA, 1, 420.997, -210.992, 296.795, -179.988, 0.0327029, -0.00829046
