Goal, RMMASq3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.136, -1, -1, 379.98, -0.0161506, 297, 180, 0, 0, 1, 5.62747, 3, 21, 394.236, -0.0152933, 296.963, -179.994, -0.0053087, 0.00309908
53.975, -1, -2, 394.236, 228.585, 297, 180, 0, 0, 1, 4.09791, 4, 36, 397.274, 228.545, 297.046, 179.999, -0.00917048, -0.0183149
77.009, -1, -3, 397.325, 228.554, 297.063, -179.997, -0.0217218, -0.0142978, 1, 9.47768, 12, 38, 434.758, -310.211, 297.061, -179.999, -0.0166489, 0.00542818
77.009, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 19.2031, 19, 95, 390.122, -309.618, 297, 180, 0, 0
Fine Spiral Search
105.032, 0, 0, 442.267, -208.702, 297, 180, 0, 0, 1, 0.206559, NA, 5, 442.197, -208.181, 297.042, 179.99, 0.00161105, -0.00115984
120.492, 0, 1, 448.273, 248.978, 297.042, 179.99, 0.00161105, -0.00115984, 1, 7.81e-05, NA, 1, 448.252, 249.065, 297.002, 179.989, 0.00349729, 0.0037343
