Goal, RMMASq3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.134, -1, -1, 379.983, -0.0309648, 297, 180, 0, 0, 1, 4.14954, 14, 31, 300.864, 0.0103276, 296.926, -179.999, 0.0110295, 0.0158722
52.47, -1, -2, 300.864, 228.61, 297, 180, 0, 0, 1, 2.49213, 4, 18, 318.662, 228.515, 297.061, 179.989, -0.00946454, -0.0123584
73.896, -1, -3, 318.628, 228.557, 297.035, 179.998, -0.00195876, -0.0150884, 1, 10.5981, 8, 43, 344.998, -358.891, 297.013, -179.981, -0.00287405, -0.029825
73.896, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 17.2398, 26, 92, 273.345, -353.31, 297, 180, 0, 0
Fine Spiral Search
102.654, 0, 0, 331.881, -255.961, 297, 180, 0, 0, 1, 3.55039, NA, 69, 329.815, -254.437, 297.002, 179.987, -0.00215905, -0.00753283
121.497, 0, 1, 365.317, 201.383, 297.002, 179.987, -0.00215905, -0.00753283, 1, 0.0001785, NA, 1, 365.26, 201.489, 296.958, 179.988, 0.00697799, -0.00284119
